company_name,company_country,company_market_cap,company_employees,company_website,company_headquarters,file_name,company_industry,company_legal_form,company_address,company_status
Apple,USA,"['394,330 Million USD', '99,803 Million USD', 'Sep-2022', '352,760 Million USD', '302,080 Million USD', '50,672 Million USD']","['1', 'California', '154,000', 'Tim Cook', ""['Steve Jobs', 'Steve Wozniak', 'Ronald Wayne']""]",https://www.apple.com/,"['Technology', 'Mobiles & Accessories', 'Electronics', 'Consumer Electronics', 'Computers Hardware', 'Software and IT', 'Music', 'Tablets', 'Technology Hardware and Instruments', 'Retail', 'Artificial Intelligence', 'Laptops', 'Software Products']",valueToday_dataset,,,,
APPLE INC.,"['California(CA)', 'UNITED STATES']",,"['3192', nan]",https://www.info-clipper.com/en/company/united-states/apple-inc.usd10543w.html,,wissel_aziende_info_clipper,,,1 APPLE PARK WAY,"['CUPERTINO', 'Headquarter']"
Amazon.com,USA,"['469,820 Million USD', '33,364 Million USD', 'Dec-2021', '420,550 Million USD', '282,300 Million USD', '138,240 Million USD']","['5', 'Washington', '1,335,000', 'Andy Jassy', 'Jeff Bezos']",https://www.amazon.com/,"['eCommerce', 'Internet or Mobile App Based Business', 'Cloud Services', 'Software and IT', 'Artificial Intelligence', 'Technology', 'Consulting Services', 'Consumer Services', 'Software Products', 'Retail']",valueToday_dataset,,,,
Amazon,USA,"['$960.28 B', '$94.13', '-1.43%', '-45.23%']",5,,,companiesMarketCap_dataset,"['E-Commerce', 'Internet', 'Tech', 'Retail']",,,
International Business Machines Corp,United States of America,"['$126.9B', '$57.4B']","307,600",,,output_globaldata,Technology and Communications,,"1 New Orchard Road, Armonk, New York, 10504",
Ibm,USA,"['57,350 Million USD', '5,743 Million USD', 'Dec-2021', '132,000 Million USD', '113,100 Million USD', '18,901 Million USD']","['123', 'New York', '375,300', 'Arvind Krishna', 'Charles Ranlett Flint']",https://www.ibm.com/,"['Technology', 'Software and IT', 'Software Products', 'Computers Hardware', 'Laptops', 'Cloud Services', 'Artificial Intelligence', 'Internet of Things', 'Electronics', 'Consumer Electronics']",valueToday_dataset,,,,
Delta Electronics,Taiwan,"['10,963 Million USD', '934 Million USD', 'Dec-2021', '12,721 Million USD', '7,328 Million USD', '5,393 Million USD']","['790', nan, '80,000', 'Ping Zheng', nan]",https://www.deltaww.com/,"['Technology', 'Electronics', 'Technology Hardware and Instruments', 'Capital Goods']",valueToday_dataset,,,,
Delta Electronics Inc,Taiwan,"['$24.6B', '$11.3B']","68,000",,,output_globaldata,Technology and Communications,,"No. 186, Ruey Kuang Road, Neihu District, Taipei, 114501",
