company_name,company_industry,company_legal_form,company_headquarters,file_name
Shapoorji Pallonji Group,Engineering & Construction,Private,"Mumbai, Maharashtra, India",AmbitionBox
Ashok Leyland,Automobile,Public,"Chennai, Tamil Nadu, India",AmbitionBox
Aurobindo Pharma,Pharma,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Vivo,Consumer Electronics & Appliances,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Mahindra & Mahindra Financial Services,NBFC,Public,"Mumbai, Maharashtra, India",AmbitionBox
AU Small Finance Bank,Financial Services,Private,"Jaipur, Rajasthan, India",AmbitionBox
Siemens,Power,Public,"Munich,Bavaria, Germany",AmbitionBox
Apollo Hospitals,Healthcare,Public,"San Francisco,California, United States",AmbitionBox
Hewlett-Packard Enterprise,IT Services & Consulting,Private,"Houston,Texas, United States",AmbitionBox
Nokia,Hardware & Networking,Private,"Espoo, Southern Finland, Finland",AmbitionBox
Max Life Insurance,Insurance,JV,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
TATA Steel,Iron & Steel,Public,"Mumbai, Maharashtra, India",AmbitionBox
TATA Steel,Iron & Steel,Public,"Mumbai, Maharashtra, India",AmbitionBox
First Source,BPO,Public,"Mumbai, Maharashtra, India",AmbitionBox
Hexaware Technologies,IT Services & Consulting,Public,"Mumbai, Maharashtra, India",AmbitionBox
JSW Steel,Iron & Steel,Public,"Mumbai, Maharashtra, India",AmbitionBox
Oracle,Software Product,Public,"Austin,Texas, United States",AmbitionBox
Intelenet Global Services,BPO,Private,"Mumbai, Maharashtra, India",AmbitionBox
Quess,Recruitment,Public,"Bangalore, India",AmbitionBox
Reliance Communications,Telecom,Public,"Navi Mumbai, Maharashtra, India",AmbitionBox
Tata Projects,Engineering & Construction,Public,"Mumbai, Maharashtra, India",AmbitionBox
Future Group,Retail,Private,"Mumbai, Maharashtra, India",AmbitionBox
JLL,Real Estate,Private,"Mumbai, Maharashtra, India",AmbitionBox
Hero MotoCorp,Automobile,Public,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Fidelity National Information Services,IT Services & Consulting,Private,"Jacksonville,Florida, United States",AmbitionBox
JustDial,Internet,Public,"Mumbai,Maharashtra, India",AmbitionBox
TVS Motor,Automobile,Public,"Chennai, Tamil Nadu, India",AmbitionBox
Cyient,IT Services & Consulting,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Oyo Rooms,Hospitality,Private,"Gurgaon,Haryana, India",AmbitionBox
Bajaj Allianz Life Insurance,Insurance,Private,"Pune, India",AmbitionBox
Hyundai Motor,Automobile,Private,"Seoul, South Korea",AmbitionBox
Wipro BPS,IT Services & Consulting,,"Bengaluru, India",AmbitionBox
