company_name,company_industry,company_legal_form,company_headquarters,file_name
Pacific BPO,BPO,Private,"Noida, Uttar Pradesh, India",AmbitionBox
Silaris Informations,BPO,Private,"Delhi/NCR, Delhi, India",AmbitionBox
Vadilal Industries,FMCG,Public,"Ahmedabad, Gujrat, India",AmbitionBox
Sunbeam Auto,Auto Components,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Welspun Group,Metals & Mining,Public,"Mumbai, India",AmbitionBox
Labcorp Drug Development,Clinical Research,,"Wilmington, North Carolina, United States (USA)",AmbitionBox
LEAD School,EdTech,,"Mumbai,Maharashtra, India",AmbitionBox
Central Public Works Department,Government,Private,"Delhi/NCR, New Delhi, India",AmbitionBox
Pristyn Care,Healthcare,Private,"Delhi,NCT, India",AmbitionBox
JK Paper,Pulp & Paper,Public,"Delhi/NCR, Delhi, India",AmbitionBox
Times Internet,Internet,Public,"Gurgaon,Haryana, India",AmbitionBox
Levi Strauss & Co.,Retail,Public,"San Francisco,California, United States",AmbitionBox
Renovision Automation Services,IT Services & Consulting,Private,"New Delhi, India",AmbitionBox
Qatar Airways,Aviation,Private,"Doha, Qatar",AmbitionBox
BT E Serv,Telecom,Public,"Delhi/NCR, New Delhi, India",AmbitionBox
Dhani Healthcare,FinTech,,,AmbitionBox
K Raheja Corp,Real Estate,Private,"Mumbai, India",AmbitionBox
Franklin Templeton Investments,Financial Services,Private,"San Mateo, UnitedStates",AmbitionBox
Avalon Technologies,Electronics Manufacturing,Private,"Chennai, Tamil Nadu, India",AmbitionBox
IBS Software Services,Software Product,Private,"Thiruvananthapuram,Kerala, India",AmbitionBox
House Of Anita Dongre,Fashion & Textile,Private,"Navi Mumbai, Maharashtra, India",AmbitionBox
Essjay Ericsson,Industrial Machinery,Private,"Delhi, India",AmbitionBox
MALABAR GOLD AND DIAMONDS,Jewellery,Private,"Kozhikode, India",AmbitionBox
Genesys International Corporation,IT Services & Consulting,Public,"Mumbai, Maharashtra, India",AmbitionBox
NRB Bearings,Auto Components,Public,"Mumbai, Maharashtra, India",AmbitionBox
Shalby Hospitals,Healthcare,Public,"Ahmedabad, Gujarat, India",AmbitionBox
Voltech,Consumer Electronics & Appliances,Private,"Chennai, Tamil Nadu, India",AmbitionBox
le méridien,Hospitality,Private,"Paris, France",AmbitionBox
Wapcos,Engineering & Construction,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Jaro Education,EdTech,Private,"Mumbai, Maharashtra, India",AmbitionBox
MPS Limited,Printing & Publishing,Public,"Noida, Uttar Pradesh, India",AmbitionBox
Atkins,Engineering & Construction,Private,"London, United Kingdom (UK)",AmbitionBox
Mynd Solutions Private,BPO,Private,"Kelowna,British Columbia, Canada",AmbitionBox
My Home Industries,Real Estate,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Vijay Sales,Retail,Private,"Mumbai, Maharashtra, India",AmbitionBox
Orient Cement,Building Material,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Y-Axis Overseas Careers,Other,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
NBTC GROUP,Oil & Gas,Private,"Al Ahmadi, Kuwait",AmbitionBox
Epsilon,Marketing & Advertising,Private,"Texas, UnitedStates",AmbitionBox
ChannelPlay,IT Services & Consulting,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Oriental Structural Engineers,Engineering & Construction,Private,"Delhi/NCR, Delhi, India",AmbitionBox
Spoton Logistics,Logistics,Private,"Bangalore,Karnataka, India",AmbitionBox
Moser Baer,Consumer Electronics & Appliances,Public,"Delhi/NCR, Delhi, India",AmbitionBox
Carborundum Universal,Industrial Machinery,Public,"Chennai, Tamil Nadu, India",AmbitionBox
HLL Lifecare,Healthcare,Private,"Trivandrum/Thiruvananthapuram, Kerala, India",AmbitionBox
MasterCard,IT Services & Consulting,Private,"Purchase,New York, United States",AmbitionBox
Cairn Energy,Oil & Gas,Private,"Edinburgh, Edinburgh, Scotland",AmbitionBox
Ministry of Defence,Defence & Aerospace,Private,"Delhi/NCR, Delhi, India",AmbitionBox
Essel Propack,Packaging,Public,"Mumbai, Maharashtra, India",AmbitionBox
Magna International,IT Services & Consulting,Public,"Aurora, Canada",AmbitionBox
HBL Global,NBFC,Private,"Mumbai, Maharashtra, India",AmbitionBox
Astral Adhesives,Chemicals,Private,"Ahmedabad, Gujarat, India",AmbitionBox
Jubilant Generics,Pharma,Private,"Noida, Uttar Pradesh, India",AmbitionBox
TIAA Global Business Services,IT Services & Consulting,Private,"Manhattan, New York, United States (USA)",AmbitionBox
Amtek Auto,Auto Components,Public,"Delhi/NCR, New Delhi, India",AmbitionBox
Army Public School,Education & Training,Private,"Delhi/NCR, New Delhi, India",AmbitionBox
Gestamp,Auto Components,Private,"Madrid, Community of Madrid, Spain",AmbitionBox
Stanza Living,Internet,Private,"Delhi,NCT, India",AmbitionBox
Tavant Technologies,IT Services & Consulting,Private,"Santa Clara, California, United States (USA)",AmbitionBox
KGISL,IT Services & Consulting,Private,"Coimbatore, Tamil Nadu, India",AmbitionBox
Zoho,Software Product,Private,"Chennai, India",AmbitionBox
SourceHOV,IT Services & Consulting,,,AmbitionBox
Medley Pharmaceuticals,Pharma,Public,"Mumbai, Maharashtra, India",AmbitionBox
V-Trans,Logistics,Public,"Mumbai, Maharashtra, India",AmbitionBox
Csc E Governance Services,Government,Public,"Delhi,NCT, India",AmbitionBox
Greenply,Furniture & Furnishing,Public,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Radical Minds,BPO,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Cox & Kings,Travel & Tourism,Private,"Mumbai, Maharashtra, India",AmbitionBox
Adani Enterprises,Financial Services,Public,"Mumbai,Maharashtra, India",AmbitionBox
Molex,Semiconductors,Private,"Lisle, Illinois, United States (USA)",AmbitionBox
Credence Resource Management,BPO,LLC,"Dallas, Texas, United States (USA)",AmbitionBox
Rane (Madras),Auto Components,Public,"Vallancherry, Tamil Nadu, India",AmbitionBox
Rane (Madras),Auto Components,Public,"Vallancherry, Tamil Nadu, India",AmbitionBox
Zydus Lifesciences,,Public,"Ahmedabad, Gujarat, India",AmbitionBox
Jai Balaji Group,Iron & Steel,Public,"Kolkata, West Bengal, India",AmbitionBox
Hilton,Hospitality,Private,"Mclean, Virginia, United States (USA)",AmbitionBox
Neuland Laboratories,Pharma,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Xceedance,Insurance,Private,"Boston, Massachusetts, United States (USA)",AmbitionBox
Wonder Cement,Building Material,Private,"Ajmer, Rajasthan, India",AmbitionBox
Kidzee,EdTech,Private,"Ernakulam, Kerala, India",AmbitionBox
Principal Global Services,Insurance,Private,"Des Moines, United States (USA)",AmbitionBox
Quality Austria Central Asia,Management Consulting,Private,"Delhi/NCR, Delhi, India",AmbitionBox
BSCPL Infrastructure,Engineering & Construction,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Bisk Farm,Food Processing,Private,"Kolkata, West Bengal, India",AmbitionBox
Sayaji Hotels,Hospitality,Public,"Indore, Madhya Pradesh, India",AmbitionBox
Ongc Petro Additions,Petrochemicals,Public,"Vadodara/Baroda, Gujarat, India",AmbitionBox
Acuity Knowledge Partners,Financial Services,,"London, United Kingdom (UK)",AmbitionBox
Visteon,Auto Components,Private,"Detroit,Michigan, United States",AmbitionBox
Fino Paytech,FinTech,,"Mumbai,Maharashtra, India",AmbitionBox
Coal India,Metals & Mining,Public,"Kolkata, West Bengal, India",AmbitionBox
Apar Industries,Electrical Equipment,Public,"Vadodara/Baroda, Gujarat, India",AmbitionBox
Schoolnet India,EdTech,Public,"Noida, Uttar Pradesh, India",AmbitionBox
Surya Roshni,Electrical Equipment,Public,"Delhi/NCR, Delhi, India",AmbitionBox
Wockhardt Hospital,Healthcare,Private,"Mumbai, Maharashtra, India",AmbitionBox
Kantar,Marketing & Advertising,Private,"London, London, United Kingdom (UK)",AmbitionBox
RITES,BPO,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Housing.com,Internet,Private,"Gurgaon,Haryana, India",AmbitionBox
MothersonSumi INfotech & Designs,IT Services & Consulting,Private,"Noida, India",AmbitionBox
MAS Financial Services,NBFC,Public,"Ahmedabad, Gujarat, India",AmbitionBox
Goodyear,Auto Components,Public,"Akron, OH, United States",AmbitionBox
PeopleStrong,Recruitment,Private,"Gurgaon,Haryana, India",AmbitionBox
MMC,Financial Services,Private,"New York, United States",AmbitionBox
Forbes Marshall,Industrial Machinery,Private,"Pune, Maharashtra, India",AmbitionBox
Sutherland Healthcare Solutions,Analytics & KPO,Private,"Clifton, New Jersey, United States (USA)",AmbitionBox
Genus Power Infrastructures,Consumer Electronics & Appliances,Public,"Jaipur, Rajasthan, India",AmbitionBox
Kellogg,Food Processing,Private,"Battle Creek, Michigan, United States (USA)",AmbitionBox
KFin Technologies,IT Services & Consulting,,"Hyderabad,Telangana, India",AmbitionBox
Dhani Loans and Services,NBFC,,"New Delhi, Delhi, India",AmbitionBox
Icon Plc,Clinical Research,,"Dublin, Ireland",AmbitionBox
Shriram Automall,Automobile,Private,"Delhi/NCR, Delhi, India",AmbitionBox
The Times of India,Printing & Publishing,Private,"New Delhi, India",AmbitionBox
Lear Corporation,Auto Components,Public,"Southfield, United States (USA)",AmbitionBox
Onward Technologies Inc,BPO,Public,"Eindhoven,North Brabant, Netherlands",AmbitionBox
Offshore Infrastructures,Engineering & Construction,Private,"Mumbai, Maharashtra, India",AmbitionBox
Novotel Hotels,Hospitality,Private,"Issy les Moulineaux, France",AmbitionBox
MagicBricks,Internet,Private,"Noida, Uttar Pradesh, India",AmbitionBox
Bpo Convergence,BPO,Private,"Bhubaneswar, Odisha, India",AmbitionBox
Patel Infrastructure,Engineering & Construction,Private,"Vadodara/Baroda, Gujarat, India",AmbitionBox
Riya Travel,Travel & Tourism,Private,"Mumbai, Maharashtra, India",AmbitionBox
Karvy DigiKonnect,Financial Services,,"Hyderabad, India",AmbitionBox
Majorel,BPO,JV,"Luxembourg , Europe",AmbitionBox
Fractal Analytics,Consulting,Private,"New York City,New York, United States",AmbitionBox
Orient Technologies,Electrical Equipment,Private,"Chiyoda-ku,Tokyo-to, Japan",AmbitionBox
Nagarjuna Fertilizers and Chemicals,Agro Chemicals,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Fiat India Automobiles,Automobile,Private,"Mumbai, Maharashtra, India",AmbitionBox
HomeLane,Architecture & Interior Design,Private,"Bangalore,Karnataka, India",AmbitionBox
Ramky Enviro Engineers,Waste Management,Private,"Hyderabad, India",AmbitionBox
Zydus Healthcare,,,,AmbitionBox
Aequs,Defence & Aerospace,Private,"Belagavi/Belgaum, Karnataka, India",AmbitionBox
TVS Electronics,Consumer Electronics & Appliances,Public,"Chennai, Tamil Nadu, India",AmbitionBox
Leighton Contractors,Engineering & Construction,Private,"Mumbai, Maharashtra, India",AmbitionBox
Varun Motors,Automobile,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Ess Kay Fincorp,NBFC,Public,"Jaipur, India",AmbitionBox
Transport Corporation Of India,Logistics,Public,"Gurgaon, India",AmbitionBox
3M,FMCG,Public,"Saint Paul, Minnesota, United States (USA)",AmbitionBox
Gandhi Automations,Industrial Machinery,Private,"Mumbai, Maharashtra, India",AmbitionBox
Naukri,Internet,Private,"Noida, India",AmbitionBox
Yokogawa,Auto Components,Private,"Tokyo,Tokyo-to, Japan",AmbitionBox
Ind-Swift Laboratories,Pharma,Public,"Chandigarh, Chandigarh, India",AmbitionBox
Amadeus,IT Services & Consulting,Private,"Madrid, Spain",AmbitionBox
RuralShores,BPO,Private,"Bangalore,Karnataka, India",AmbitionBox
Updater Services,Facility Management Services,Private,"Chennai, Tamil Nadu, India",AmbitionBox
Westin,Hospitality,Private,"Kolkata, West Bengal, India",AmbitionBox
BharatMatrimony.com,Internet,Private,"Chennai, Tamil Nadu, India",AmbitionBox
Nelito System,IT Services & Consulting,Private,"Navi Mumbai, India",AmbitionBox
MAHLE Behr India,Auto Components,JV,"Pune, India",AmbitionBox
CGI Information Systems And Management Consultants Private Limited,IT Services & Consulting,,,AmbitionBox
Blackberrys,Fashion & Textile,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
TTK Prestige,Consumer Electronics & Appliances,Public,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Xerox,IT Services & Consulting,,,AmbitionBox
Macawber Beekay,Industrial Machinery,Private,"Noida, Uttar Pradesh, India",AmbitionBox
Hapag-Lloyd,Ports & Shipping,Private,"Hamburg, Germany",AmbitionBox
SKH Metals,Auto Components,Private,"Gurgaon, India",AmbitionBox
Bahwan Engineering,Engineering & Construction,Private,"Ruwi, Oman",AmbitionBox
Sulekha.com,Internet,Private,"Chennai,Tamil Nadu, India",AmbitionBox
Scientific Publishing Services,Analytics & KPO,Private,"Chennai, India",AmbitionBox
Al Turki Enterprises,Oil & Gas,Private,"Muscat, Oman",AmbitionBox
Vijai Electricals,Power,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
NecLife,Pharma,Public,"Chandigarh, Chandigarh, India",AmbitionBox
Cloudnine Hospital,Healthcare,JV,"Bangalore,Karnataka, India",AmbitionBox
Microtek International,Consumer Electronics & Appliances,Private,"Delhi/NCR, Delhi, India",AmbitionBox
Balkrishna Industries,Auto Components,Public,"Mumbai, Maharashtra, India",AmbitionBox
Paras Dairy,FMCG,Public,"Delhi/NCR, Delhi, India",AmbitionBox
Hitachi,Electronics Manufacturing,Private,"Tokyo, Japan, India",AmbitionBox
Sintex-bapl,Petrochemicals,Public,"Pune, India",AmbitionBox
Ukb Electronics,Electronics Manufacturing,Private,"Noida, Uttar Pradesh, India",AmbitionBox
Thermo Fisher Scientific,Pharma,Private,"Waltham,Massachusetts, United States",AmbitionBox
PrimEra Medical Technologies,IT Services & Consulting,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
JK Tech,IT Services & Consulting,Public,"Noida, Uttar Pradesh, India",AmbitionBox
IRB Infrastructure,Engineering & Construction,Public,"Mumbai, Maharashtra, India",AmbitionBox
Sterlite Power Transmission,Power,,"Delhi/NCR, Delhi, India",AmbitionBox
Maveric Systems,IT Services & Consulting,Public,"Chennai, Tamil Nadu, India",AmbitionBox
Stock Holding Corporation of India,Financial Services,Public,"Mumbai, Maharashtra, India",AmbitionBox
Triveni Engineering & Industries,Food Processing,Public,"Mysore/Mysuru, Karnataka, India",AmbitionBox
Amar Ujala,Printing & Publishing,Private,"Noida, Uttar Pradesh, India",AmbitionBox
Deccan Fine Chemicals,Chemicals,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
IFB Industries,Auto Components,,,AmbitionBox
Globant,IT Services & Consulting,Private,"San Francisco, United States (USA)",AmbitionBox
Keventer,FMCG,Private,"Kolkata, India",AmbitionBox
Navitasys India,Electrical Equipment,,,AmbitionBox
Ziqitza Health Care,Healthcare,Public,"Mumbai, Maharashtra, India",AmbitionBox
Nucleus Software Exports,IT Services & Consulting,Public,"Noida, Uttar Pradesh, India",AmbitionBox
BMC Software,Software Product,Private,"Houston, Texas, United States (USA)",AmbitionBox
Glaze Trading India,Retail,Private,"Delhi/NCR, Delhi, India",AmbitionBox
Chandigarh University,Education & Training,Private,"Mohali, Punjab, India",AmbitionBox
B.L. Kashyap & Sons,Engineering & Construction,Private,"Delhi/NCR, New Delhi, India",AmbitionBox
HIL,Building Material,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Reliance Infrastructure,Power,Public,"Mumbai, Maharashtra, India",AmbitionBox
Medtronic,Healthcare,Private,"Mumbai, Maharashtra, India",AmbitionBox
Orient Electric,Other,Public,"Delhi/NCR, Delhi, India",AmbitionBox
VirtusaPolaris,IT Services & Consulting,Private,"Colombo, Colombo, Sri Lanka",AmbitionBox
Cigniti Technologies,IT Services & Consulting,Public,"Irving, Texas, United States (USA)",AmbitionBox
Livpure,Consumer Electronics & Appliances,Private,"Gurgaon,Haryana, India",AmbitionBox
Prism Johnson,Building Material,Public,"Mumbai, Maharashtra, India",AmbitionBox
PPG Asian Paints,Chemicals,Private,"Mumbai, Maharashtra, India",AmbitionBox
Bharat Serums and Vaccines,Pharma,Private,"Mumbai, Maharashtra, India",AmbitionBox
IDEMIA,Law Enforcement & Security,Private,"Courbevoie, Courbevoie, France",AmbitionBox
Deloitte Touche Aers India,IT Services & Consulting,,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Ask Automotive,Auto Components,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Medicover Hospitals,Healthcare,,"Hyderabad,Telangana, India",AmbitionBox
IVY Comptech,IT Services & Consulting,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
EaseMyTrip.com,Internet,Public,"Delhi,NCT, India",AmbitionBox
Khazana Jewellery,Jewellery,Private,"Chennai, Tamil Nadu, India",AmbitionBox
Bharti AXA General Insurance,Insurance,JV,"Mumbai, India",AmbitionBox
Hilti,Real Estate,Private,"Schaan, Liechtenstein",AmbitionBox
Gionee,Consumer Electronics & Appliances,Private,"Shenzhen, China",AmbitionBox
Cpf India,Food Processing,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Craftsman Automation,Industrial Machinery,Private,"Coimbatore, Tamil Nadu, India",AmbitionBox
Fiem Industries,Auto Components,Public,"New Delhi, India",AmbitionBox
CareerNet Consulting,Other,Private,"Bangalore, India",AmbitionBox
Action Construction Equipment,Engineering & Construction,Public,"Delhi/NCR, New Delhi, India",AmbitionBox
Accolite Digital,IT Services & Consulting,Private,"Dallas, Texas, United States (USA)",AmbitionBox
Doosan Power Systems,Power,Private,"Crawley, United Kingdom (UK)",AmbitionBox
Pamac Finserve,Financial Services,Private,"Mumbai, Maharashtra, India",AmbitionBox
Piramal Pharma,Pharma,Public,"Lexington, Kentucky, United States (USA)",AmbitionBox
Asb International,Industrial Machinery,Private,"Thane, Maharashtra, India",AmbitionBox
J K Fenner,Engineering & Construction,Private,"Chennai, Tamil Nadu, India",AmbitionBox
Colt Technology Services,Telecom,Private,"London,England, United Kingdom",AmbitionBox
IFB,Consumer Electronics & Appliances,Public,"Kolkata, West Bengal, India",AmbitionBox
Nvidia,IT Services & Consulting,Private,"Santa Clara, California, United States (USA)",AmbitionBox
GlobalData,Analytics & KPO,Private,"London, United Kingdom (UK)",AmbitionBox
Maharashtra State Electricity Distribution Company,Power,Private,"Mumbai, Maharashtra, India",AmbitionBox
Salcomp Manufacturing,Electronics Manufacturing,Private,"Salo, Finland",AmbitionBox
Nvidia,IT Services & Consulting,Private,"Santa Clara, California, United States (USA)",AmbitionBox
Patel Engineering,Engineering & Construction,Public,"Mumbai, Maharashtra, India",AmbitionBox
Adani Green Energy,Power,Private,"Ahmedabad, Gujrat, India",AmbitionBox
CAMS,IT Services & Consulting,,"Chennai, India",AmbitionBox
Okaya Power,Power,Private,"Delhi/NCR, Delhi, India",AmbitionBox
Bharat Gears,Auto Components,Public,"Mumbai, Maharashtra, India",AmbitionBox
Acadecraft,EdTech,Private,"Noida, Uttar Pradesh, India",AmbitionBox
CTS Consulting & Technical Support,IT Services & Consulting,Private,"Eysines, France",AmbitionBox
Canon,Consumer Electronics & Appliances,Private,"Ota City, Tokyo, Japan",AmbitionBox
ICFAI University,Education & Training,Private,"Dehradun, Uttarakhand, India",AmbitionBox
Allied Digital Services,IT Services & Consulting,Public,"Mumbai, Maharashtra, India",AmbitionBox
The Akshaya Patra Foundation,Non-Profit,NGO/NPO,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Usha Martin,Iron & Steel,Public,"Kolkata, West Bengal, India",AmbitionBox
Progressive Infovision,Recruitment,Private,"Delhi/NCR, Delhi, India",AmbitionBox
FOCUS EDUMATICS,EdTech,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Capri Global Capital,NBFC,Public,"Mumbai, Maharashtra, India",AmbitionBox
Godrej Industries,Chemicals / Agri Inputs,Public,"Mumbai, Maharashtra, India",AmbitionBox
BankBazaar,Internet,Private,"Chennai,Tamil Nadu, India",AmbitionBox
Centaur Pharmaceuticals,Healthcare,Private,"Mumbai, Maharashtra, India",AmbitionBox
Debtcare Enterprises,Investment Banking / Venture Capital / Private Equity,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Lite Bite Foods,Food Processing,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Ness Technologies,IT Services & Consulting,Private,"Teaneck, New Jersey, United States (USA)",AmbitionBox
Evolve Technologies & Services,Telecom,Private,"Pune, Maharashtra, India",AmbitionBox
Emami Agrotech,Food Processing,Public,"Kolkata, West Bengal, India",AmbitionBox
Bunge India,Food Processing,Private,"Chesterfield, Missouri, United States (USA)",AmbitionBox
TCI Express,Logistics,Public,"Gurugram , India",AmbitionBox
Maini Precision Products,Auto Components,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Sterling Holiday Resort,Hospitality,Public,"Chennai, Tamil Nadu, India",AmbitionBox
Ferrero,Food Processing,Private,"Pune, Maharashtra, India",AmbitionBox
Nomura Holdings,Investment Banking / Venture Capital / Private Equity,Public,"Mumbai, Maharashtra, India",AmbitionBox
Comviva Technology,IT Services & Consulting,Private,"Gurgaon,Haryana, India",AmbitionBox
NJ India Invest,Financial Services,Private,"Surat, India",AmbitionBox
Pearson Education India,Education & Training,Private,"Noida, Uttar Pradesh, India",AmbitionBox
Nephroplus,Healthcare,Private,"Hyderabad, India",AmbitionBox
ALLEN Career Institute,Education & Training,Private,"Kota, Rajasthan, India",AmbitionBox
Rane NSK Steering Systems,,,,AmbitionBox
Agility,Logistics,Private,"Sulaibiya, Kuwait",AmbitionBox
Lenovo,Consumer Electronics & Appliances,Private,"Quarry Bay, Hong Kong",AmbitionBox
VRL Logistics,Logistics,Public,"Hubballi, Karnataka, India",AmbitionBox
Tracxn,IT Services & Consulting,Private,"Bangalore,Karnataka, India",AmbitionBox
Vasudha Pharma Chem,Pharma,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Shyam Steel Industries,Metals & Mining,Private,"Kolkata, West Bengal, India",AmbitionBox
Keihin Fie,Auto Components,Private,"Pune, Maharashtra, India",AmbitionBox
MG Motor,Automobile,Private,"To be Validated,4704971, India",AmbitionBox
SitusAMC,Software Product,,,AmbitionBox
Cargill Business Services,BPO,,"Wayzata, Minnesota, United States Of America",AmbitionBox
National Informatics Centre,IT Services & Consulting,Government,"New Delhi, India",AmbitionBox
Mahendras Institute,Education & Training,Private,"Lucknow, Uttar Pradesh, India",AmbitionBox
Ramboll,Engineering & Construction,Private,"Copenhagen, Denmark, Denmark",AmbitionBox
L & W Constructions,Engineering & Construction,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
JSW Group,Iron & Steel,Private,"Mumbai, India",AmbitionBox
Bridgestone,Auto Components,Private,"Tokyo, Japan",AmbitionBox
Sanghi Industries,Building Material,Public,"Ahmedabad, Gujarat, India",AmbitionBox
Pace Setters Business Solutions,BPO,,"Mumbai, India",AmbitionBox
HRH Next Services,BPO,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Tecnimont,Engineering & Construction,Private,"Mumbai, Maharashtra, India",AmbitionBox
Hexagon Nutrition,Food Processing,Private,"Mumbai,Maharashtra, India",AmbitionBox
Citco,Financial Services,Private,"Cayman Islands, British Overseas Territory",AmbitionBox
DP World,Logistics,Public,"Dubai, Jebel Ali, United Arab Emirates (UAE)",AmbitionBox
Simplilearn,EdTech,Private,"San Francisco,California, United States",AmbitionBox
Infor Global Solution,Software Product,Private,"New York, United States",AmbitionBox
Hetero Healthcare,Pharma,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
MCM Telecom Equipment,Hardware & Networking,Private,"Noida, Uttar Pradesh, India",AmbitionBox
Kantar IMRB,Analytics & KPO,Private,"Mumbai, Maharashtra, India",AmbitionBox
uFaber,EdTech,Private,"Mumbai,Maharashtra, India",AmbitionBox
Dr. Batras' Positive Health Clinic,Healthcare,Private,"Mumbai, India",AmbitionBox
Fidelity International,Financial Services,Private,"London, United Kingdom (UK)",AmbitionBox
Ramada,Hospitality,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Suma Soft,IT Services & Consulting,Private,"Pune, India",AmbitionBox
OpenText Technologies,Software Product,Private,"Waterloo,Ontario, Canada",AmbitionBox
TCS eServe,BPO,Private,"Mumbai, India",AmbitionBox
Nissin Brake,Auto Components,Private,"Nagano, Japan",AmbitionBox
CDK Global,IT Services & Consulting,Private,"Hoffman Estates, Illinois, United States (USA)",AmbitionBox
Salesforce,IT Services & Consulting,Public,"San Francisco,California, United States",AmbitionBox
Veritas,Financial Services,Public,"Santa Clara, California, United States (USA)",AmbitionBox
Pyramid IT Consulting,IT Services & Consulting,Private,"Atlanta, Georgia, United States (USA)",AmbitionBox
Finastra,IT Services & Consulting,Private,"Paddington, London, United States (USA)",AmbitionBox
LIC Housing Finance,NBFC,Public,"Mumbai, Maharashtra, India",AmbitionBox
Digit Insurance,Financial Services,Private,"Bangalore,Karnataka, India",AmbitionBox
Toyota Industries Engine India,Industrial Machinery,Private,"Kariya, Aichi, Japan",AmbitionBox
Lohia Group,Industrial Machinery,Public,"Kanpur, Uttar Pradesh, India",AmbitionBox
Baker Hughes,Oil & Gas,Private,"Boston , Massachusetts, United States (USA)",AmbitionBox
Fedbank Financial Services,NBFC,Private,"Mumbai, Maharashtra, India",AmbitionBox
LG Soft India,IT Services & Consulting,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
EdgeVerve Systems,IT Services & Consulting,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
CompuCom,IT Services & Consulting,Private,"Fort Mill, South Carolina, United States (USA)",AmbitionBox
Kunal Structure,Real Estate,Private,"Ahmedabad, Gujarat, India",AmbitionBox
Kajaria Ceramics,Building Material,Public,"Delhi/NCR, New Delhi, India",AmbitionBox
Jayaswal Neco Industries,Iron & Steel,Public,"Nagpur, Maharashtra, India",AmbitionBox
First Flight Couriers,Logistics,Private,"Mumbai, Maharashtra, India",AmbitionBox
Praj Industries,Engineering & Construction,Public,"Pune, Maharashtra, India",AmbitionBox
Country Holidays Travel India,Travel & Tourism,Private,"New Delhi, Delhi, India",AmbitionBox
Jiva Ayurvedic Pharmacy,Healthcare,Private,"Faridabad, Haryana, India",AmbitionBox
GTL Infrastructure,Hardware & Networking,Public,"Mumbai, Maharashtra, India",AmbitionBox
eMids Technologies,IT Services & Consulting,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Vikram Solar,Power,Private,"Kolkata, West Bengal, India",AmbitionBox
Dr. Reddy's Foundation,Non-Profit,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Vaco Binary Semantics,IT Services & Consulting,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Vastu Housing Finance,Financial Services,Private,"Mumbai, Maharashtra, India",AmbitionBox
Almarai,Food Processing,Private,"Riyadh, Central Province, Saudi Arabia",AmbitionBox
Xavient Digital - Powered by TELUS International,IT Services & Consulting,Private,"Simi Valley, California, United States (USA)",AmbitionBox
Citigroup,Banking,Private,"New York City, New York, United States (USA)",AmbitionBox
Victora Group,Automobile,Private,"Faridabad, Haryana, India",AmbitionBox
TTK Healthcare,Healthcare,Public,"Chennai, Tamil Nadu, India",AmbitionBox
Srei Equipment Finance,Financial Services,Public,"Kolkata, India",AmbitionBox
Otsuka Pharmaceutical,Pharma,Private,"Chiyoda City, Tokyo, Japan",AmbitionBox
Karvy Financial Services,Financial Services,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Lanco Infratech,Engineering & Construction,Public,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
