company_name,company_industry,company_status,file_name
Ageas,Financials,Brussels,MalPatSaj_wikipedia
Agfa-Gevaert,Technology,Mortsel,MalPatSaj_wikipedia
Agoria,Industrials,Brussels,MalPatSaj_wikipedia
AIM Productions,Technology,Hove,MalPatSaj_wikipedia
Alpro,Consumer goods,Ghent[8],MalPatSaj_wikipedia
Anheuser-Busch InBev,Consumer goods,Leuven,MalPatSaj_wikipedia
Antwerp Water Works,Utilities,Antwerp,MalPatSaj_wikipedia
Aquafin,Utilities,Antwerp,MalPatSaj_wikipedia
ASL Airlines Belgium,Industrials,Liège,MalPatSaj_wikipedia
Associated Weavers,Consumer goods,Ronse,MalPatSaj_wikipedia
Aveve,Consumer goods,Aalter,MalPatSaj_wikipedia
Aviapartner,Industrials,Brussels,MalPatSaj_wikipedia
Barco,Technology,Kortrijk,MalPatSaj_wikipedia
Base,Industrials,Brussels,MalPatSaj_wikipedia
Beaulieu International Group,Consumer goods,Wielsbeke,MalPatSaj_wikipedia
Befimmo,Financials,Brussels,MalPatSaj_wikipedia
Bekaert,Basic materials,Kortrijk,MalPatSaj_wikipedia
Belgian Beer Café,Consumer services,Leuven,MalPatSaj_wikipedia
Belgian Investment Company for Developing Countries,Financials,Brussels,MalPatSaj_wikipedia
Bpost,Industrials,Brussels,MalPatSaj_wikipedia
Brussels Airlines,Consumer services,Brussels,MalPatSaj_wikipedia
Brussels Regional Investment Company,Financials,Brussels,MalPatSaj_wikipedia
Cockerill Sambre,Basic materials,Seraing,MalPatSaj_wikipedia
Carmeuse,Basic materials,Louvain-la-Neuve,MalPatSaj_wikipedia
Cartamundi,Consumer goods,Turnhout,MalPatSaj_wikipedia
Cavalier Chocolate,Consumer goods,Eeklo,MalPatSaj_wikipedia
Claeys,Industrials,Zedelgem,MalPatSaj_wikipedia
Cofinimmo,Financials,Brussels,MalPatSaj_wikipedia
Colruyt Group,Consumer services,Halle,MalPatSaj_wikipedia
Compagnie Maritime Belge,Industrials,Antwerp,MalPatSaj_wikipedia
Confiserie Roodthooft,Consumer goods,Antwerp,MalPatSaj_wikipedia
Copiepresse,Consumer services,Brussels,MalPatSaj_wikipedia
De Lijn,Consumer services,Mechelen,MalPatSaj_wikipedia
Deceuninck,Basic materials,Hooglede,MalPatSaj_wikipedia
Delhaize Group,Consumer goods,Brussels,MalPatSaj_wikipedia
DEME,Industrials,Zwijndrecht,MalPatSaj_wikipedia
D'Ieteren,Consumer services,Brussels,MalPatSaj_wikipedia
DOMO Group,Consumer goods,Ghent,MalPatSaj_wikipedia
Ecover,Consumer goods,Malle,MalPatSaj_wikipedia
Effortel,Financials,Brussels,MalPatSaj_wikipedia
ETAP Lighting,Consumer goods,Malle,MalPatSaj_wikipedia
Eurogentec,Health care,Seraing,MalPatSaj_wikipedia
EVS Broadcast Equipment,Technology,Liège,MalPatSaj_wikipedia
Ferranti Computer Systems,Technology,Antwerp,MalPatSaj_wikipedia
Fluxys,Oil and gas,Brussels,MalPatSaj_wikipedia
Forrest Group,Basic materials,Wavre,MalPatSaj_wikipedia
Gimv,Financials,Brussels,MalPatSaj_wikipedia
Godiva Chocolatier,Consumer goods,Brussels,MalPatSaj_wikipedia
Group Joos,Consumer services,Turnhout,MalPatSaj_wikipedia
Groupe Bruxelles Lambert,Industrials,Brussels,MalPatSaj_wikipedia
Guylian,Consumer goods,Sint-Niklaas,MalPatSaj_wikipedia
IMEC,Technology,Leuven,MalPatSaj_wikipedia
Imperia Automobiles,Consumer goods,Liège,MalPatSaj_wikipedia
Innogenetics,Health care,Ghent,MalPatSaj_wikipedia
Jan De Nul,Industrials,Aalst,MalPatSaj_wikipedia
Janssen Pharmaceutica,Health care,Beerse,MalPatSaj_wikipedia
Jonckheere,Industrials,Roeselare,MalPatSaj_wikipedia
Katoen Natie,Industrials,Antwerp,MalPatSaj_wikipedia
KBC Bank,Financials,Brussels,MalPatSaj_wikipedia
Keytrade Bank,Financials,Brussels,MalPatSaj_wikipedia
Kinepolis,Consumer services,Ghent,MalPatSaj_wikipedia
Larian Studios,Technology,Ghent,MalPatSaj_wikipedia
Libeco-Lagae,Consumer goods,Meulebeke,MalPatSaj_wikipedia
Louis Delhaize Group,Consumer services,Charleroi,MalPatSaj_wikipedia
Luciad NV,Technology,Leuven,MalPatSaj_wikipedia
Materialise NV,Technology,Leuven,MalPatSaj_wikipedia
Metallo-Chimique,Basic materials,Beerse,MalPatSaj_wikipedia
Mutoh Europe nv,Consumer goods,Ostend,MalPatSaj_wikipedia
Namahn,Industrials,Brussels,MalPatSaj_wikipedia
National Railway Company of Belgium,Consumer services,Brussels,MalPatSaj_wikipedia
Compagnie Nationale à Portefeuille (CNP),Industrials,Gerpinnes,MalPatSaj_wikipedia
Nyrstar,Basic materials,Balen,MalPatSaj_wikipedia
Option N.V.,Technology,Leuven,MalPatSaj_wikipedia
Proost,Consumer services,Turnhout,MalPatSaj_wikipedia
Proximus,Telecommunications,Brussels,MalPatSaj_wikipedia
Proximus Group,Telecommunications,Brussels,MalPatSaj_wikipedia
Regional Investment Company of Wallonia,Financials,Liège,MalPatSaj_wikipedia
Reynaers Aluminium,Basic materials,Duffel,MalPatSaj_wikipedia
RHJ International,Financials,Brussels,MalPatSaj_wikipedia
Ridley Bikes,Consumer goods,Paal,MalPatSaj_wikipedia
Saluc,Consumer goods,Péruwelz,MalPatSaj_wikipedia
Septentrio,Consumer goods,Leuven,MalPatSaj_wikipedia
Seyntex,Consumer goods,Oostrozebeke,MalPatSaj_wikipedia
Skytech,Industrials,Brussels,MalPatSaj_wikipedia
Sofina,Financials,Brussels,MalPatSaj_wikipedia
Solvay S.A.,Basic materials,Brussels,MalPatSaj_wikipedia
Soudal,Basic materials,Turnhout,MalPatSaj_wikipedia
Sugar refinery of Tienen,Consumer goods,Tienen,MalPatSaj_wikipedia
