company_name,company_industry,company_market_cap,company_employees,country,file_name
Tesla,Automakers|Tech|Electric Vehicles|Bitcoin|Manufacturing|EV charging|Autonomous driving,$606.20 B|$194.86|0.08%|-46.10%,7,USA,companiesMarketCap_dataset
Unitedhealth,Healthcare|Insurance|Dow jones,$500.96 B|$536.16|0.17%|20.21%,8,USA,companiesMarketCap_dataset
Berkshire Hathaway,Investment,$696.53 B|$316.15|0.10%|13.28%,6,USA,companiesMarketCap_dataset
Amazon,E-Commerce|Internet|Tech|Retail,$960.28 B|$94.13|-1.43%|-45.23%,5,USA,companiesMarketCap_dataset
Microsoft,Software|Tech|Dow jones|Video games,$1.901 T|$255.02|0.13%|-22.60%,3,USA,companiesMarketCap_dataset
Alphabet (google),Internet|Tech|Software|Autonomous driving,$1.303 T|$100.83|-0.44%|-29.87%,4,USA,companiesMarketCap_dataset
Saudi Aramco,Energy|Oil&Gas,$1.938 T|$8.81|-1.19%|-5.57%,2,Saudi Arabia,companiesMarketCap_dataset
Toronto Dominion Bank,Banks|Financial services,$125.25 B|$68.59|0.32%|-8.94%,100,Canada,companiesMarketCap_dataset
Hdfc Bank,Banks|Financial services,$126.75 B|$68.20|-1.94%|1.55%,98,India,companiesMarketCap_dataset
Elevance Health,Healthcare|Insurance,$125.66 B|$523.60|-0.07%|30.99%,99,USA,companiesMarketCap_dataset
Goldman Sachs,Banks|Dow jones|Financial services,$128.87 B|$380.58|-0.84%|-1.80%,97,USA,companiesMarketCap_dataset
Petrochina,Oil&Gas|Energy,$129.63 B|$0.74|0.19%|-3.90%,96,China,companiesMarketCap_dataset
Lockheed Martin,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$130.04 B|$496.23|2.59%|50.13%,94,USA,companiesMarketCap_dataset
Lowe's Companies,Retail,$129.91 B|$214.84|-0.30%|-14.20%,95,USA,companiesMarketCap_dataset
Prosus,Investment,$131.50 B|$65.60|0.57%|-19.84%,92,Netherlands,companiesMarketCap_dataset
Unilever,Food|Consumer goods,$131.15 B|$51.50|0.68%|0.12%,93,UK,companiesMarketCap_dataset
Union Pacific Corporation,Railways|Transportation|Infrastructure,$132.01 B|$214.73|-0.56%|-10.56%,91,USA,companiesMarketCap_dataset
Ibm,Tech|Software|Dow jones,$133.25 B|$148.67|-0.33%|27.18%,90,USA,companiesMarketCap_dataset
Meituan,Internet|Tech|E-Commerce,$133.48 B|$21.57|3.07%|-32.17%,88,China,companiesMarketCap_dataset
Sap,Tech|Software|DAX,$133.26 B|$112.03|0.02%|-13.94%,89,Germany,companiesMarketCap_dataset
Cvs Health,Healthcare|Pharmaceuticals|Drugstore|Retail,$134.78 B|$102.58|0.91%|13.99%,86,USA,companiesMarketCap_dataset
Deere & Company,Machinery manufacturing|Manufacturing,$134.49 B|$445.61|0.86%|27.09%,87,USA,companiesMarketCap_dataset
Dior,Luxury goods|Clothing,$135.84 B|$751.90|-0.14%|-1.01%,84,France,companiesMarketCap_dataset
At&t,Telecommunication,$135.55 B|$19.02|-0.89%|-17.48%,85,USA,companiesMarketCap_dataset
Royal Bank Of Canada,Banks|Financial services,$139.63 B|$99.64|-0.62%|-0.46%,82,Canada,companiesMarketCap_dataset
Catl,Batteries|Electricity,$136.36 B|$55.83|-0.85%|-48.33%,83,China,companiesMarketCap_dataset
Qualcomm,Tech|Semiconductors|Tech Hardware,$140.86 B|$125.66|-0.91%|-29.02%,80,USA,companiesMarketCap_dataset
Netflix,Entertainment|Internet|Tech,$142.58 B|$320.41|1.09%|-48.03%,79,USA,companiesMarketCap_dataset
Agricultural Bank Of China,Banks|Financial services,$140.40 B|$0.41|0.00%|-10.87%,81,China,companiesMarketCap_dataset
Salesforce,Software|Dow jones|Tech,$144.55 B|$144.56|-1.66%|-44.66%,78,USA,companiesMarketCap_dataset
Honeywell,Dow jones|Aerospace|Defense contractors,$147.29 B|$219.08|0.78%|7.39%,77,USA,companiesMarketCap_dataset
Raytheon Technologies,Aerospace|Defense contractors,$148.49 B|$101.01|1.52%|23.70%,76,USA,companiesMarketCap_dataset
China Mobile,Telecommunication,$149.18 B|$6.59|-0.29%|10.02%,75,China,companiesMarketCap_dataset
Totalenergies,Oil&Gas|Energy|CAC 40,$151.61 B|$60.61|-0.09%|26.01%,74,France,companiesMarketCap_dataset
Conocophillips,Oil&Gas|Energy,$152.24 B|$122.18|-0.72%|71.46%,73,USA,companiesMarketCap_dataset
