company_name,company_industry,company_market_cap,company_employees,country,file_name
M&t Bank,Banks|Financial services,$29.18 B|$169.10|0.46%|12.19%,600,USA,companiesMarketCap_dataset
Jd Health,Drugstore|Internet|E-Commerce|Healthcare|Tech,$29.19 B|$9.18|9.33%|13.33%,599,China,companiesMarketCap_dataset
Kühne + Nagel,Transportation,$29.25 B|$244.64|-0.35%|-14.72%,598,Switzerland,companiesMarketCap_dataset
Loblaw Companies,,$29.41 B|$90.79|0.62%|18.94%,597,Canada,companiesMarketCap_dataset
Fastenal,,$29.45 B|$51.43|-0.25%|-13.79%,595,USA,companiesMarketCap_dataset
Hyundai,Automakers|Manufacturing,$29.41 B|$31.02|3.47%|-23.31%,596,South Korea,companiesMarketCap_dataset
China Pacific Insurance,,$29.48 B|$3.40|-1.36%|-20.37%,594,China,companiesMarketCap_dataset
Hang Seng Bank,Banks|Financial services,$29.52 B|$15.45|-1.07%|-14.83%,593,Hong Kong,companiesMarketCap_dataset
Ahold Delhaize,Retail|Food|Supermarket Chains,$29.53 B|$29.65|0.09%|-12.20%,592,Netherlands,companiesMarketCap_dataset
Mtr Corporation,,$29.58 B|$4.77|-1.07%|-8.97%,590,Hong Kong,companiesMarketCap_dataset
Transurban,Toll Road Operators|Infrastructure,$29.57 B|$9.62|-0.98%|-2.14%,591,Australia,companiesMarketCap_dataset
The People's Insurance Company (picc),Insurance,$29.70 B|$0.76|-0.19%|2.70%,588,China,companiesMarketCap_dataset
Bank Of Ningbo,,$29.59 B|$4.48|-1.56%|-22.09%,589,China,companiesMarketCap_dataset
D. R. Horton,Construction,$29.72 B|$86.33|-0.43%|-16.01%,587,USA,companiesMarketCap_dataset
Baker Hughes,Oil&Gas|Energy,$29.75 B|$29.51|0.85%|22.96%,586,USA,companiesMarketCap_dataset
Oneok,Oil&Gas|Energy,$30.03 B|$67.20|0.00%|10.73%,584,USA,companiesMarketCap_dataset
Restaurant Brands International,Restaurant chains|Food,$30.04 B|$66.43|0.23%|18.52%,583,Canada,companiesMarketCap_dataset
Rwe,Electricity|DAX|Energy,$29.95 B|$44.29|-1.38%|14.53%,585,Germany,companiesMarketCap_dataset
Constellation Energy,Energy|Electricity|Utility companies,$30.09 B|$92.04|-2.57%,582,USA,companiesMarketCap_dataset
Smc Corp,,$30.14 B|$461.38|-1.79%|-29.47%,581,Japan,companiesMarketCap_dataset
Barrick Gold,Mining|Gold mining,$30.15 B|$16.98|-0.64%|-6.60%,580,Canada,companiesMarketCap_dataset
Dnb,Financial services,$30.17 B|$19.46|-0.08%|-12.58%,579,Norway,companiesMarketCap_dataset
Shanghai Pudong Development Bank,Banks|Financial services,$30.23 B|$1.03|0.14%|-23.70%,578,China,companiesMarketCap_dataset
Citic Bank,Banks|Financial services,$30.28 B|$0.70|-1.20%|-1.41%,577,China,companiesMarketCap_dataset
Wec Energy Group,,$30.30 B|$96.06|-1.26%|8.09%,576,USA,companiesMarketCap_dataset
Telus,Telecommunication,$30.33 B|$21.22|-0.33%|-7.62%,575,Canada,companiesMarketCap_dataset
Cement Roadstone Holding,Cement|Building materials,$30.36 B|$40.61|0.40%|-17.68%,574,Ireland,companiesMarketCap_dataset
Airports Of Thailand,Airports|Infrastructure,$30.37 B|$2.13|-0.34%|21.02%,573,Thailand,companiesMarketCap_dataset
Crédit Agricole,Banks|Financial services|CAC 40,$30.41 B|$10.03|0.28%|-27.89%,571,France,companiesMarketCap_dataset
Pseg,Electricity|Energy,$30.39 B|$60.92|0.86%|-3.56%,572,USA,companiesMarketCap_dataset
W. W. Grainger,,$30.42 B|$602.08|-0.18%|23.37%,570,USA,companiesMarketCap_dataset
Rockwell Automation,,$30.48 B|$265.49|-0.47%|-22.75%,569,USA,companiesMarketCap_dataset
Sun Pharmaceutical,Pharmaceuticals|Biotech,$30.65 B|$12.77|-0.62%|25.07%,567,India,companiesMarketCap_dataset
Henkel,DAX|Chemicals|Consumer goods,$30.63 B|$73.02|0.73%|-8.80%,568,Germany,companiesMarketCap_dataset
Bae Systems,Defense contractors|Aerospace,$30.66 B|$9.92|-1.46%|34.42%,565,UK,companiesMarketCap_dataset
Hp,Tech|Tech Hardware|Electronics,$30.65 B|$29.64|-0.74%|-21.25%,566,USA,companiesMarketCap_dataset
Haier Smart Home,Home & Kitchen Appliances,$30.97 B|$3.42|-1.92%|-21.92%,564,China,companiesMarketCap_dataset
Barclays,Banks|Financial services,$30.99 B|$7.82|-0.89%|-22.88%,563,UK,companiesMarketCap_dataset
Luxshare Precision,,$30.99 B|$4.37|-1.29%|-28.01%,562,China,companiesMarketCap_dataset
Weg On,,$31.08 B|$7.41|0.91%|28.87%,561,Brazil,companiesMarketCap_dataset
Pacific Gas And Electric,Electricity|Energy|Oil&Gas,$31.12 B|$15.66|0.26%|30.50%,560,USA,companiesMarketCap_dataset
Fanuc,Robotics|Machinery manufacturing|Manufacturing,$28.93 B|$151.22|-1.26%|-26.23%,605,Japan,companiesMarketCap_dataset
People’s Insurance Company Of China,Insurance,$28.93 B|$0.32|0.00%|6.67%,604,China,companiesMarketCap_dataset
Crowdstrike,Tech|Software|IT security,$28.93 B|$124.00|-0.06%|-40.77%,603,USA,companiesMarketCap_dataset
Verisk Analytics,,$29.00 B|$185.44|-0.38%|-17.90%,602,USA,companiesMarketCap_dataset
Eversource Energy,Energy|Utility companies|Electricity,$29.15 B|$83.71|-0.24%|0.76%,601,USA,companiesMarketCap_dataset
Genuine Parts Company,,$26.43 B|$187.28|1.29%|44.21%,662,USA,companiesMarketCap_dataset
Kone,Engineering|Professional services,$26.49 B|$51.23|0.58%|-24.85%,661,Finland,companiesMarketCap_dataset
Orange,Telecommunication|CAC 40,$26.55 B|$9.84|-1.40%|-6.02%,660,France,companiesMarketCap_dataset
Coloplast,,$26.57 B|$125.16|4.62%|-23.05%,659,Denmark,companiesMarketCap_dataset
Intact Financial,Insurance,$26.63 B|$151.98|1.36%|19.83%,658,Canada,companiesMarketCap_dataset
Shenzhen Inovance,,$26.74 B|$10.06|1.00%|-2.24%,656,China,companiesMarketCap_dataset
The Trade Desk,Software|Internet|Tech,$26.67 B|$54.49|4.97%|-43.17%,657,USA,companiesMarketCap_dataset
Willis Towers Watson,Insurance,$26.79 B|$247.56|0.39%|6.72%,655,UK,companiesMarketCap_dataset
Baxter,Pharmaceuticals|Biotech|Healthcare,$26.82 B|$53.22|1.60%|-30.18%,654,USA,companiesMarketCap_dataset
Saudi Electricity,Electricity|Energy,$26.94 B|$6.47|-1.78%|2.54%,653,Saudi Arabia,companiesMarketCap_dataset
Naturgy,,$27.08 B|$28.19|-0.37%|1.84%,651,Spain,companiesMarketCap_dataset
Daimler Truck,Specialty Vehicles|Manufacturing,$26.99 B|$32.80|-0.64%,652,Germany,companiesMarketCap_dataset
Yili Group,Dairy companies,$27.11 B|$4.24|-0.57%|-29.68%,650,China,companiesMarketCap_dataset
Ashtead,,$27.13 B|$61.60|1.74%|-23.59%,649,UK,companiesMarketCap_dataset
Veeva Systems,Software|Tech,$27.15 B|$174.90|-8.63%|-33.35%,647,USA,companiesMarketCap_dataset
Japan Post Holdings,Courier,$27.15 B|$7.66|-1.86%|0.13%,648,Japan,companiesMarketCap_dataset
Ptt Pcl,Oil&Gas|Energy,$27.17 B|$0.95|-0.75%|-13.64%,645,Thailand,companiesMarketCap_dataset
Galaxy Entertainment,Hotels|Travel,$27.15 B|$6.22|0.31%|13.71%,646,Hong Kong,companiesMarketCap_dataset
Fujitsu,IT services|Professional services,$27.22 B|$138.45|-0.51%|-17.55%,643,Japan,companiesMarketCap_dataset
Thales,Defense contractors|CAC 40,$27.20 B|$128.37|-0.04%|56.64%,644,France,companiesMarketCap_dataset
Riyad Bank,Banks,$27.38 B|$9.13|-0.58%|23.88%,642,Saudi Arabia,companiesMarketCap_dataset
Wolters Kluwer,Software|Tech,$27.55 B|$110.15|-0.24%|-0.93%,640,Netherlands,companiesMarketCap_dataset
International Flavors & Fragrances,Flavors & Fragrances|Cosmetics and Beauty,$27.52 B|$107.97|1.15%|-23.15%,641,USA,companiesMarketCap_dataset
Lyondellbasell,Chemicals,$27.64 B|$84.90|0.31%|-0.79%,639,USA,companiesMarketCap_dataset
Rivian,Automakers|Manufacturing|Electric Vehicles,$27.70 B|$31.36|-0.38%|-71.69%,638,USA,companiesMarketCap_dataset
Sun Life Financial,Financial services|Insurance,$27.86 B|$47.18|-0.53%|-12.11%,635,Canada,companiesMarketCap_dataset
Gartner,Professional services,$27.81 B|$351.99|-1.20%|10.51%,636,USA,companiesMarketCap_dataset
Warner Bros. Discovery,Entertainment|Media/Press,$27.80 B|$11.55|-0.69%|-50.32%,637,USA,companiesMarketCap_dataset
Fomento Económico Mexicano,Beverages,$27.91 B|$78.00|-1.76%|9.91%,633,Mexico,companiesMarketCap_dataset
Global Payments,Financial services|Tech,$27.87 B|$103.08|-0.43%|-15.38%,634,USA,companiesMarketCap_dataset
Vanke,,$28.00 B|$2.02|-0.13%|-14.77%,631,China,companiesMarketCap_dataset
American Water Works,Utility companies,$27.95 B|$153.74|-0.18%|-9.76%,632,USA,companiesMarketCap_dataset
Wipro,Professional services|IT services,$28.03 B|$5.11|-0.78%|-41.60%,629,India,companiesMarketCap_dataset
Maybank,Banks,$28.02 B|$4.65|6.41%|21.73%,630,Malaysia,companiesMarketCap_dataset
Aptiv,Automotive Suppliers|Autonomous driving,$28.10 B|$103.73|-1.39%|-37.43%,626,Ireland,companiesMarketCap_dataset
Franco-nevada,Mining|Investment|Gold mining,$28.08 B|$145.54|-1.17%|11.57%,627,Canada,companiesMarketCap_dataset
Japan Post Bank,Banks|Financial services,$28.05 B|$7.48|-2.52%|-8.78%,628,Japan,companiesMarketCap_dataset
T. Rowe Price,Investment,$28.15 B|$126.01|-0.85%|-37.53%,625,USA,companiesMarketCap_dataset
Nokia,Tech,$28.27 B|$5.05|1.00%|-12.02%,623,Finland,companiesMarketCap_dataset
Swisscom,Telecommunication,$28.31 B|$546.51|-0.97%|-0.81%,622,Switzerland,companiesMarketCap_dataset
Citic Limited,,$28.16 B|$0.97|-3.95%|3.19%,624,China,companiesMarketCap_dataset
Astellas Pharma,Pharmaceuticals|Biotech,$28.36 B|$15.52|-2.00%|-1.27%,620,Japan,companiesMarketCap_dataset
Caixabank,Banks|Financial services,$28.32 B|$3.60|0.06%|36.88%,621,Spain,companiesMarketCap_dataset
Eqt,Investment,$28.36 B|$23.41|-1.39%|-58.60%,619,Sweden,companiesMarketCap_dataset
China Overseas Land & Investment,Real estate|Investment,$28.45 B|$2.60|-0.98%|8.79%,618,Hong Kong,companiesMarketCap_dataset
State Street Corporation,Financial services|Banks,$28.51 B|$77.72|-1.27%|-15.88%,616,USA,companiesMarketCap_dataset
Woolworths Group,Supermarket Chains|Retail,$28.48 B|$23.41|-0.43%|-16.84%,617,Australia,companiesMarketCap_dataset
Chunghwa Telecom,Telecommunication,$28.53 B|$36.41|0.58%|-11.15%,614,Taiwan,companiesMarketCap_dataset
Sociedad Química Y Minera,Chemicals,$28.52 B|$99.85|2.81%|65.73%,615,Chile,companiesMarketCap_dataset
Titan Company,,$28.54 B|$32.16|-0.79%|1.10%,612,India,companiesMarketCap_dataset
Aier Eye Hospital,Healthcare|Medical Care Facilities,$28.54 B|$3.98|-1.38%|-38.86%,613,China,companiesMarketCap_dataset
Corning,,$28.75 B|$34.00|-0.70%|-9.41%,610,USA,companiesMarketCap_dataset
Generali,Insurance,$28.60 B|$18.14|0.61%|-11.17%,611,Italy,companiesMarketCap_dataset
Wuxi Biologics,Pharmaceuticals|Biotech,$28.79 B|$13.65|5.32%|-47.72%,608,China,companiesMarketCap_dataset
Discover Financial Services,Financial services,$28.79 B|$105.40|-1.06%|-4.26%,609,USA,companiesMarketCap_dataset
Alnylam Pharmaceuticals,Pharmaceuticals,$28.83 B|$234.40|6.42%|28.19%,606,USA,companiesMarketCap_dataset
Enbw Energie,Electricity|Energy,$24.81 B|$91.62|0.46%|4.58%,700,Germany,companiesMarketCap_dataset
Edison International,,$24.96 B|$65.37|-0.23%|-0.18%,698,USA,companiesMarketCap_dataset
Tractor Supply,Retail,$24.84 B|$224.94|0.14%|-1.19%,699,USA,companiesMarketCap_dataset
Saic Motor,Automakers|Manufacturing,$25.06 B|$2.15|-0.07%|-33.44%,696,China,companiesMarketCap_dataset
Cbre Group,Real estate|Investment,$25.03 B|$79.25|-0.36%|-20.69%,697,USA,companiesMarketCap_dataset
Lennar,Construction,$25.14 B|$88.30|0.16%|-21.93%,694,USA,companiesMarketCap_dataset
Equity Residential,Real estate,$25.12 B|$64.11|-0.84%|-25.03%,695,USA,companiesMarketCap_dataset
Cellnex Telecom,Telecommunication,$25.18 B|$35.70|-0.96%|-38.04%,692,Spain,companiesMarketCap_dataset
Alexandria Real Estate Equities,Real estate,$25.15 B|$153.32|-1.00%|-24.33%,693,USA,companiesMarketCap_dataset
Kbc,,$25.24 B|$58.25|5.91%|-31.67%,690,Belgium,companiesMarketCap_dataset
Kellogg's,Food,$25.19 B|$73.83|0.86%|19.22%,691,USA,companiesMarketCap_dataset
Sartorius,Scientific & Technical Instruments|DAX,$25.35 B|$346.99|0.92%|-38.07%,687,Germany,companiesMarketCap_dataset
E.on,Electricity|DAX|Energy|Utility companies,$25.26 B|$9.68|1.14%|-20.98%,688,Germany,companiesMarketCap_dataset
Beiersdorf,DAX|Consumer goods,$25.25 B|$111.36|0.09%|11.56%,689,Germany,companiesMarketCap_dataset
Partners Group,Investment,$25.36 B|$972.57|-3.84%|-40.29%,686,Switzerland,companiesMarketCap_dataset
Diamondback Energy,Energy|Oil&Gas,$25.60 B|$145.46|0.53%|36.67%,683,USA,companiesMarketCap_dataset
Olympus,,$25.58 B|$20.09|-3.21%|-8.31%,684,Japan,companiesMarketCap_dataset
Skandinaviska Enskilda Banken,,$25.41 B|$11.70|0.86%|-19.59%,685,Sweden,companiesMarketCap_dataset
Ultratech Cement,,$25.63 B|$88.90|-0.51%|-8.93%,681,India,companiesMarketCap_dataset
Raymond James,,$25.62 B|$119.16|1.49%|21.51%,682,USA,companiesMarketCap_dataset
Telkom Indonesia,Telecommunication,$25.72 B|$25.62|0.95%|-11.69%,679,Indonesia,companiesMarketCap_dataset
Btg Pactual,Financial services,$25.63 B|$2.60|4.46%|10.17%,680,Brazil,companiesMarketCap_dataset
Bridgestone,Tires,$25.75 B|$37.57|-1.92%|-9.80%,677,Japan,companiesMarketCap_dataset
Cdw Corporation,Retail,$25.72 B|$190.02|-0.62%|-1.86%,678,USA,companiesMarketCap_dataset
Gree Electric Appliances,Home & Kitchen Appliances|Electronics|Manufacturing,$25.85 B|$4.59|-0.59%|-16.70%,674,China,companiesMarketCap_dataset
Zimmer Biomet,Medical devices,$25.80 B|$122.97|-0.31%|0.03%,675,USA,companiesMarketCap_dataset
Mobileye,Autonomous driving|Software|Tech,$25.76 B|$31.94|7.29%,676,Israel,companiesMarketCap_dataset
Foxconn Industrial Internet,,$25.86 B|$1.30|-0.54%|-26.14%,673,China,companiesMarketCap_dataset
Vestas Wind Systems,Renewable energy|Electricity|Energy,$26.02 B|$25.89|0.20%|-18.30%,670,Denmark,companiesMarketCap_dataset
Hormel Foods,Food,$26.02 B|$47.64|0.11%|13.54%,671,USA,companiesMarketCap_dataset
Delta Electronics,Electronics|Tech|Tech Hardware,$25.97 B|$10.00|0.00%|5.60%,672,Taiwan,companiesMarketCap_dataset
Swiss Re,Insurance,$26.12 B|$90.40|-0.38%|-4.97%,668,Switzerland,companiesMarketCap_dataset
Formosa Petrochemical,Oil&Gas|Energy,$26.08 B|$2.74|-0.95%|-21.94%,669,Taiwan,companiesMarketCap_dataset
Unicredit,Banks|Financial services,$26.25 B|$13.20|-0.11%|5.94%,666,Italy,companiesMarketCap_dataset
Assa Abloy,,$26.23 B|$22.73|-1.13%|-22.50%,667,Sweden,companiesMarketCap_dataset
Cosco Shipping,Transportation|Maritime transportation|Container shipping,$26.31 B|$1.79|-0.55%|-34.91%,664,China,companiesMarketCap_dataset
Flutter Entertainment,Gambling|Entertainment,$26.30 B|$71.08|0.00%|-15.14%,665,Ireland,companiesMarketCap_dataset
Sampo,Insurance,$26.33 B|$50.94|-0.72%|3.66%,663,Finland,companiesMarketCap_dataset
Koninklijke Dsm,Food,$24.26 B|$134.27|2.62%|-37.42%,711,Netherlands,companiesMarketCap_dataset
Fubon Financial,Banks|Financial services,$24.42 B|$1.97|-0.50%|-26.22%,709,Taiwan,companiesMarketCap_dataset
Entergy,Utility companies|Energy|Electricity,$24.45 B|$115.91|-0.34%|13.65%,708,USA,companiesMarketCap_dataset
Sirius Xm,Telecommunication,$24.27 B|$6.24|-2.65%|-0.16%,710,USA,companiesMarketCap_dataset
Ebay,Internet|E-Commerce|Tech,$24.52 B|$45.20|0.09%|-33.02%,705,USA,companiesMarketCap_dataset
Vulcan Materials,Building materials,$24.52 B|$184.49|0.36%|-5.78%,707,USA,companiesMarketCap_dataset
Amadeus It Group,Software|Tech|Travel,$24.52 B|$54.51|-0.58%|-15.91%,706,Spain,companiesMarketCap_dataset
Equifax,Financial services,$24.65 B|$201.38|-0.43%|-30.80%,704,USA,companiesMarketCap_dataset
Coca-cola European Partners,Beverages,$24.75 B|$53.92|0.43%|3.59%,701,UK,companiesMarketCap_dataset
Compagnie De Saint-gobain,CAC 40,$24.66 B|$48.11|1.56%|-26.78%,703,France,companiesMarketCap_dataset
United Rentals,Rental & Leasing Services,$24.71 B|$356.57|0.04%|5.05%,702,USA,companiesMarketCap_dataset
Dte Energy,Energy|Electricity|Utility companies,$22.29 B|$115.06|-0.91%|4.60%,768,USA,companiesMarketCap_dataset
Extra Space Storage,Real estate,$22.34 B|$159.00|-0.66%|-22.59%,765,USA,companiesMarketCap_dataset
Huntington Bancshares,Banks|Financial services,$22.30 B|$15.46|-0.83%|1.51%,767,USA,companiesMarketCap_dataset
Epiroc,Machinery manufacturing|Manufacturing,$22.31 B|$19.47|0.35%|-20.24%,766,Sweden,companiesMarketCap_dataset
Ansys,Software|Tech,$22.36 B|$256.74|-1.11%|-35.02%,764,USA,companiesMarketCap_dataset
China Resources Beer,Alcoholic beverages|Beverages,$22.38 B|$6.90|-0.92%|-13.53%,761,Hong Kong,companiesMarketCap_dataset
Udr Apartments,,$22.37 B|$41.00|0.29%|-27.63%,763,USA,companiesMarketCap_dataset
Smic,Semiconductors|Tech,$22.38 B|$1.98|-6.51%|-28.00%,762,China,companiesMarketCap_dataset
Arch Capital,Insurance,$22.41 B|$60.60|1.41%|43.30%,760,,companiesMarketCap_dataset
Cnh Industrial,Specialty Vehicles,$22.42 B|$16.68|1.96%|-2.23%,759,UK,companiesMarketCap_dataset
Nio,Automakers|Electric Vehicles,$22.49 B|$13.13|8.60%|-63.73%,756,China,companiesMarketCap_dataset
Terumo,Medical devices,$22.44 B|$29.91|-1.79%|-26.26%,757,Japan,companiesMarketCap_dataset
Ares Management,,$22.43 B|$75.97|-2.60%|-8.71%,758,USA,companiesMarketCap_dataset
Legrand,CAC 40,$22.62 B|$83.82|-0.05%|-24.43%,754,France,companiesMarketCap_dataset
Principal,Insurance|Investment|Financial services,$22.55 B|$92.18|1.39%|31.55%,755,USA,companiesMarketCap_dataset
Martin Marietta,Building materials,$22.70 B|$365.73|0.10%|-11.64%,752,USA,companiesMarketCap_dataset
Evolution Gaming,Gambling|Entertainment,$22.70 B|$105.56|0.31%|9.24%,753,Sweden,companiesMarketCap_dataset
Seagen,Pharmaceuticals|Biotech,$22.72 B|$122.41|1.15%|-22.85%,751,USA,companiesMarketCap_dataset
Banorte,Financial services,$22.73 B|$7.73|-1.47%|23.09%,750,Mexico,companiesMarketCap_dataset
Ameren,Electricity|Energy,$22.76 B|$88.04|-0.74%|5.78%,748,USA,companiesMarketCap_dataset
Argenx,Pharmaceuticals,$22.74 B|$402.31|0.77%|36.42%,749,Netherlands,companiesMarketCap_dataset
Unicharm,,$22.83 B|$38.49|0.53%|-10.43%,746,Japan,companiesMarketCap_dataset
China Securities,,$22.83 B|$3.51|-0.80%|-21.30%,747,China,companiesMarketCap_dataset
Techtronic Industries,Electronics|Tool manufacturers|Manufacturing,$23.01 B|$12.30|-2.67%|-42.12%,744,Hong Kong,companiesMarketCap_dataset
Delta Air Lines,Airlines|Travel|Transportation,$22.89 B|$35.71|0.93%|-2.54%,745,USA,companiesMarketCap_dataset
First Republic Bank,Banks|Financial services,$23.07 B|$126.17|-0.93%|-41.48%,743,USA,companiesMarketCap_dataset
Yankuang Energy (yanzhou Coal Mining),Mining|Coal Mining|Energy,$23.13 B|$5.60|-1.77%|45.83%,742,China,companiesMarketCap_dataset
Mccormick & Company,Food,$23.17 B|$86.38|0.76%|-0.72%,740,USA,companiesMarketCap_dataset
Edp Renováveis,Energy|Renewable energy|Electricity|Utility companies,$23.16 B|$23.20|-2.57%|-5.54%,741,Spain,companiesMarketCap_dataset
Hannover Rück,Insurance,$23.22 B|$192.55|-0.44%|7.66%,738,Germany,companiesMarketCap_dataset
Yum China,Food|Restaurant chains,$23.21 B|$55.49|1.30%|10.78%,739,China,companiesMarketCap_dataset
Nestlé India,Food,$23.39 B|$242.61|-1.49%|-6.68%,736,India,companiesMarketCap_dataset
Sse,,$23.28 B|$21.27|-1.94%|2.36%,737,UK,companiesMarketCap_dataset
Goodman Group,Real estate|REITs|Investment,$23.52 B|$12.51|-4.11%|-29.00%,733,Australia,companiesMarketCap_dataset
Canon,Electronics|Tech|Tech Hardware,$23.48 B|$23.01|-1.41%|3.74%,735,Japan,companiesMarketCap_dataset
Rogers Communication,Telecommunication|Media/Press,$23.50 B|$46.22|-1.24%|1.32%,734,Canada,companiesMarketCap_dataset
Adani Ports & Sez,Ports,$23.56 B|$10.91|-0.26%|10.76%,731,India,companiesMarketCap_dataset
Sandvik,Engineering|Machinery manufacturing|Manufacturing,$23.53 B|$18.76|0.00%|-26.14%,732,Sweden,companiesMarketCap_dataset
Central Japan Railway,Railways|Transportation,$23.60 B|$119.94|-1.86%|-10.96%,729,Japan,companiesMarketCap_dataset
Southwest Airlines,Airlines|Travel|Transportation,$23.60 B|$39.75|-0.82%|-12.33%,730,USA,companiesMarketCap_dataset
Datadog,Software|Internet|Tech,$23.72 B|$74.71|-4.18%|-55.91%,727,USA,companiesMarketCap_dataset
Ke Holdings,Real estate,$23.67 B|$17.61|5.45%|-4.71%,728,China,companiesMarketCap_dataset
Tyson Foods,Food,$23.74 B|$66.02|0.82%|-18.28%,725,USA,companiesMarketCap_dataset
Firstenergy,Electricity|Energy,$23.73 B|$41.52|0.34%|7.51%,726,USA,companiesMarketCap_dataset
Agnico Eagle Mines,Mining|Gold mining,$23.76 B|$51.77|-0.77%|8.24%,723,Canada,companiesMarketCap_dataset
Horizon Therapeutics,Pharmaceuticals,$23.76 B|$104.85|3.94%|1.08%,724,Ireland,companiesMarketCap_dataset
Weyerhaeuser,,$23.85 B|$32.42|0.43%|-15.81%,722,USA,companiesMarketCap_dataset
National Bank Of Canada,Banks|Financial services,$23.94 B|$71.15|-0.03%|-5.60%,720,Canada,companiesMarketCap_dataset
Adidas,Footwear|Sports goods|DAX|Clothing,$23.88 B|$130.86|-0.53%|-54.85%,721,Germany,companiesMarketCap_dataset
The Hartford,Financial services|Insurance,$24.12 B|$75.84|0.28%|13.09%,719,USA,companiesMarketCap_dataset
Avalonbay Communities,Real estate|Investment,$24.14 B|$172.57|-0.92%|-27.62%,718,USA,companiesMarketCap_dataset
Fortive,,$24.14 B|$68.24|0.52%|-8.09%,716,USA,companiesMarketCap_dataset
Ulta Beauty,Retail|Cosmetics and Beauty,$24.14 B|$471.33|-0.25%|22.86%,717,USA,companiesMarketCap_dataset
Lindt,Food,$24.18 B|$104.219|-0.61%|-13.64%,714,Switzerland,companiesMarketCap_dataset
Imperial Brands,Tobacco,$24.16 B|$25.48|-0.82%|23.03%,715,UK,companiesMarketCap_dataset
Ferguson,,$24.24 B|$116.64|-1.41%|-24.91%,712,UK,companiesMarketCap_dataset
Fifth Third Bank,Banks|Financial services,$24.19 B|$35.25|-1.45%|-19.78%,713,USA,companiesMarketCap_dataset
Ck Asset Holdings,Real estate,$21.33 B|$5.93|-0.32%|2.60%,799,Hong Kong,companiesMarketCap_dataset
Epam Systems,Professional services|IT services|Software|Tech,$21.27 B|$369.84|0.06%|-40.33%,800,USA,companiesMarketCap_dataset
Insulet,Medical devices,$21.39 B|$308.06|0.02%|7.25%,797,USA,companiesMarketCap_dataset
The Saudi British Bank,Banks|Financial services,$21.38 B|$10.41|-4.98%|31.61%,798,Saudi Arabia,companiesMarketCap_dataset
Doordash,Food Delivery|Internet|Food|Tech,$21.42 B|$55.19|-3.38%|-66.78%,795,USA,companiesMarketCap_dataset
Labcorp,Pharmaceuticals|Biotech,$21.40 B|$241.57|-0.08%|-17.06%,796,USA,companiesMarketCap_dataset
Naver,Internet|Tech,$21.43 B|$142.93|-1.07%|-57.78%,793,South Korea,companiesMarketCap_dataset
Verisign,Internet,$21.42 B|$202.10|-1.21%|-16.05%,794,USA,companiesMarketCap_dataset
Ppl,Electricity|Energy,$21.48 B|$29.18|-0.38%|3.37%,791,USA,companiesMarketCap_dataset
Hewlett Packard Enterprise,Tech|Networking hardware,$21.47 B|$16.69|-0.77%|11.34%,792,USA,companiesMarketCap_dataset
Fujifilm,Conglomerate,$21.49 B|$53.60|-1.60%|-32.24%,788,Japan,companiesMarketCap_dataset
Coterra Energy,Energy|Oil&Gas,$21.49 B|$27.26|-0.62%|34.75%,789,USA,companiesMarketCap_dataset
Deutsche Bank,Banks|Financial services|DAX,$21.49 B|$10.55|1.25%|-14.99%,790,Germany,companiesMarketCap_dataset
Repsol,Oil&Gas|Energy,$21.54 B|$15.40|-1.32%|34.73%,787,Spain,companiesMarketCap_dataset
Regions Financial,Financial services,$21.64 B|$23.16|0.74%|2.34%,785,USA,companiesMarketCap_dataset
Telefónica,Telecommunication,$21.61 B|$3.72|-1.33%|-11.64%,786,Spain,companiesMarketCap_dataset
East Japan Railway,Railways|Transportation,$21.65 B|$57.39|-0.28%|-3.09%,783,Japan,companiesMarketCap_dataset
Ck Hutchison Holdings,Conglomerate|Telecommunication|Infrastructure|Ports,$21.65 B|$5.65|-1.68%|-10.74%,784,Hong Kong,companiesMarketCap_dataset
Komatsu,Manufacturing|Machinery manufacturing,$21.65 B|$22.90|-2.35%|-1.29%,782,Japan,companiesMarketCap_dataset
Panasonic,Electronics|Tech|Tech Hardware,$21.76 B|$9.32|-2.19%|-15.12%,780,Japan,companiesMarketCap_dataset
Zoom,Tech|Internet|Software,$21.72 B|$74.31|-4.03%|-61.25%,781,USA,companiesMarketCap_dataset
Oil & Natural Gas,Oil&Gas|Energy,$21.77 B|$1.73|0.61%|-9.90%,779,India,companiesMarketCap_dataset
Ntt Data,IT services|Professional services,$21.84 B|$15.57|-1.41%|-24.78%,777,Japan,companiesMarketCap_dataset
Quanta Services,Engineering,$21.87 B|$153.07|0.88%|34.76%,776,USA,companiesMarketCap_dataset
Beigene,Pharmaceuticals,$21.80 B|$201.86|3.75%|-41.64%,778,China,companiesMarketCap_dataset
Ganfeng Lithium,Mining,$22.01 B|$11.48|-0.70%|-54.62%,774,China,companiesMarketCap_dataset
Jsw Steel,Steel producers|Steel industry,$21.99 B|$9.13|-0.44%|5.92%,775,India,companiesMarketCap_dataset
Ingersoll Rand,,$22.08 B|$54.55|0.48%|-7.92%,772,Ireland,companiesMarketCap_dataset
Arcelormittal,CAC 40|Steel producers|Steel industry,$22.08 B|$27.06|1.65%|-3.87%,773,,companiesMarketCap_dataset
Li Auto,Automakers|Electric Vehicles,$22.22 B|$22.78|6.95%|-32.82%,770,China,companiesMarketCap_dataset
