company_market_cap,company_employees,brand name,category,file_name
Malaysia. Singapore,361|405,OCBC,Bank,campaignindia
Regional,362|420,Ford,Car/Automobile,campaignindia
Taiwan,363|464,Teco,White Goods,campaignindia
China,364|436,Air China,Full-service Airlines,campaignindia
Hong Kong. Taiwan,365|511,Fubon,Insurance,campaignindia
Japan,366|512,Softbank,Mobile Service Provider,campaignindia
Taiwan,367|333,Hey Song,Carbonated Soft Drink,campaignindia
Hong Kong. Southeast Asia,368|339,Del Monte,Fruit Juice,campaignindia
China. Southeast Asia,369|381,Maxwell House,Coffee,campaignindia
Regional,370|480,Kia,Car/Automobile,campaignindia
