company_name,company_industry,company_country,company_employees,company_nace_code,link,file_name
Great Deals E-Commerce Corp.,Ecommerce,Philippines,385,88.77,https://www.greatdealscorp.com/,ft
PCL Inc.,Pharmaceuticals,South Korea,63,45.48,http://www.pclchip.com/,ft
Spolive,Games industry,South Korea,47,9.49,https://www.spolive.com/,ft
Workmate,Support Services,Singapore,82,12.44,https://www.workmate.asia/,ft
TaiMed Biologics,Pharmaceuticals,Taiwan,78,24.42,http://www.taimedbiologics.com/,ft
SCI Ecommerce,Ecommerce,Singapore,164,108.46,https://www.sciecomm.com/,ft
I-CY CHAYA ,Food & Beverage,Thailand,7,44.04,http://www.icychaya.co.th/,ft
Grow Finance,Fintech,Australia,52,15.02,https://www.grow.com.au/,ft
SAMBHV Steel,Industrial Goods,India,355,64.65,https://sambhv.com/,ft
INTELUCK,Technology,Philippines,108,7.06,https://www.inteluck.com/,ft
Carro,Technology,Singapore,400,86.35,https://carro.sg/,ft
GOPIZZA,Food & Beverage,South Korea,101,6.17,https://www.gopizza.kr/,ft
Scaler by InterviewBit,Education,India,594,31.04,https://www.interviewbit.com/,ft
Pixie Dust Technologies,Technology,Japan,61,4.56,https://pixiedusttech.com/,ft
Kioson,Ecommerce,Indonesia,54,204.99,http://www.kioson.com/,ft
SCI Ecommerce,Ecommerce,Singapore,92,46.08,https://www.sciecomm.com/,ft
Electric Kiwi,Energy,New Zealand,22,35.63,https://www.electrickiwi.co.nz/,ft
Swappie,Technology,Finland,218,97.611.814,https://swappie.com/,ft
Haulio,Transport,Singapore,21,5.62,https://www.haulio.io/,ft
Digio,Technology,India,13,6.75,https://www.digio.in/,ft
Skillmatics,Ecommerce,India,60,7.42,https://www.skillmatics.in/,ft
Struggle,Sales & Marketing,Japan,40,24.81,http://www.strgl.co.jp/,ft
TheMathCompany,Technology,India,285,7.56,https://themathcompany.com/,ft
Kilo Health,Health,Lithuania,177,57.318.766,https://kilo.health/,ft
OCI,Financial Services,UK,32,568.322.073,https://www.oci-group.co.uk/,ft
ROINET Solution,Fintech,India,202,23.52,https://www.roinetsolution.com/,ft
Glints Intern,Support Services,Singapore,318,9.78,https://glints.com/,ft
Reqrea,Property,Japan,34,3.36,https://reqrea.co.jp/,ft
ROINET Solution,Financial Services,India,182,17.91,http://www.roinetsolution.com/,ft
Global Vision Multimedia,Technology,Japan,28,7.18,https://www.gvm-av.com/,ft
OnlyFans,Technology,UK,800,316.732.986,https://onlyfans.com/,ft
Bulb Energy,Energy,UK,575,1.737.586.657,https://bulb.com,ft
Amberstudent,Property,India,120,3.64,https://amberstudent.com/,ft
Tangerine Telecom,Telecoms,Australia,100,35.24,https://www.tangerinetelecom.com.au/,ft
Omkara,Financial Services,India,39,10.71,https://omkaraarc.com/,ft
Roadbull Logistics,Technology,Singapore,135,6.76,https://roadbull.com/,ft
AI inside,Technology,Japan,67,14.63,https://inside.ai/,ft
SGS Logistics,Transport,Australia,7,8.38,https://www.sgslogistics.com.au/,ft
Enpal,Energy,Germany,365,56.109.613,https://www.enpal.de/,ft
Sun Finance,Fintech,Latvia,750,101.475.796,https://sunfinance.group,ft
MarketKurly,Ecommerce,South Korea,1.046,807.49,https://www.kurly.com/,ft
Zigma Global,Waste management & recycling,India,1.096,21.69,https://www.zigma.in/,ft
GreedyGame,Technology,India,60,9.45,https://greedygame.com/,ft
eCloudvalley,Technology,Taiwan,229,209.25,https://www.ecloudvalley.com/,ft
Wakefit,Retail,India,600,28.21,https://www.wakefit.co/,ft
MR Consulting,Waste management & recycling,Germany,9,13.165.586,https://www.mrc-herford.de/,ft
Everflow Group,Energy,UK,46,55.902.990,https://www.everflowgroup.co.uk,ft
Sankey Solutions,Technology,India,186,2.61,https://sankeysolutions.com/,ft
Carro,Technology,Singapore,974,215.01,https://carro.sg/,ft
360F,Fintech,Singapore,30,3.63,https://www.360f.com/,ft
Ninja Van Logistics,Transport,Singapore,25655,249.53,https://www.ninjavan.co/,ft
Spolive,Games industry,South Korea,42,12.01,http://www.spolivecorp.co.kr/,ft
Carsome,Automobiles,Malaysia,672,203.94,https://www.carsome.com/,ft
Thriva,Health,UK,57,18.732.563,https://thriva.co/,ft
Glencar Construction,Construction,UK,85,110.298.923,https://glencar.com,ft
BR Metals,Waste management & recycling,Singapore,26,143.12,https://www.brmetalsltd.com/,ft
Bulkings Distribution,Personal & Household Goods,Singapore,20,10.65,https://www.bulkings.com.sg/,ft
T&R Biofab,Pharmaceuticals,South Korea,72,5.77,http://www.tnrbiofab.com/,ft
Market Kurly,Ecommerce,South Korea,358,369.66,https://www.kurly.com/,ft
Blue Wireless,Telecoms,Singapore,25,2.80,https://www.bluewireless.com/,ft
Exotec,Industrial Goods,France,200,47.597.000,https://www.exotec.com/,ft
Winelivery,Ecommerce,Italy,10,7.337.290,https://www.winelivery.com/,ft
Spyrosoft,Technology,Poland,376,16.635.991,https://spyro-soft.com,ft
Blue Motor Finance,Financial Services,United Kingdom,155,61.4,https://blue.co.uk,ft
AI inside,Technology,Japan,102,43.06,https://inside.ai/,ft
Flexing It,Technology,India,25,3.13,https://www.flexingit.com/,ft
Stylist in Pocket Technologies. Inc.,Fashion,Philippines,43,1.56,http://www.stylistinpocket.com/,ft
RedDoorz,Travel & Leisure,Singapore,1556,8.50,https://www.reddoorz.com/,ft
Cardoc,Support Services,South Korea,64,18.98,https://www.cardoc.co.kr/,ft
Ethique,Personal & Household Goods,New Zealand,9,12.83,https://ethiqueworld.com/,ft
Instabox,Technology,Sweden,117,24.484.879,https://instabox.io/se-en/,ft
Waterdrop,Food & Beverage,Austria,180,41.205.930,https://eu.waterdrop.com/,ft
Kolibri Games**,Technology,Germany,91,53.500.970,https://www.kolibrigames.com,ft
Deliveroo,Food & Beverage,United Kingdom,1664,316.1,https://deliveroo.co.uk,ft
Taxify,Technology,Estonia,350,17.8,https://www.taxify.eu,ft
Nium,Fintech,Singapore,422,15.98,https://www.nium.com/,ft
YAMAP,Technology,Japan,65,7.20,https://corporate.yamap.co.jp/,ft
Dovetail,Technology,New Zealand,31,8.47,https://dovetailstudios.com/,ft
Kami,Technology,New Zealand,28,2.16,https://www.kamiapp.com/,ft
One Lease,Support Services,France,11,9.015.211,http://www.one-lease.fr/,ft
Polarium Energy Solutions,Batteries,Sweden,38,43.207.400,https://polarium.com,ft
Solectric,Technology,Germany,30,40.9,https://www.solectric.de,ft
Harch,Media,Japan,29,5.18,https://harch.jp/,ft
IGOODS,Sales & Marketing,Japan,30,30.01,https://www.i-goods.co.jp/,ft
BR Metals,Waste management & recycling,Singapore,16,107.40,https://www.brmetalsltd.com/,ft
Smart Energy Group,Energy,Australia,203,34.64,http://www.smartenergygroup.com.au/,ft
Razorpay,Technology,India,1050,73.76,https://razorpay.com/,ft
Datlas*,Technology,Italy,251,9.034.926,https://datlas.it/en/,ft
Crossflow Payment Solutions Trading,Fintech,UK,7,14.333.126,https://www.crossflowpayments.co.uk,ft
Psioxus Therapeutics,Pharmaceuticals,United Kingdom,69,64.4,https://www.psioxus.com,ft
Hegen,Personal & Household Goods,Singapore,22,24.31,https://www.hegen.com/,ft
KALEIDO JAPAN,Architecture,Japan,10,5.45,https://kaleidojapan.com/,ft
Redpeak Advisers,Financial Services,Singapore,7,10.11,https://www.redpeak.sg/,ft
Miss Amara,Retail,Australia,36,7.07,https://missamara.com.au/,ft
Wadiz,Fintech,South Korea,204,12.47,https://www.wadiz.kr/,ft
Coda Payments,Fintech,Singapore,104,80.32,https://www.codapayments.com/,ft
Zego,Fintech,UK,224,12.158.046,https://www.zego.com/,ft
Swapfiets,Travel & Leisure,Netherlands,550,22.700.000,https://www.swapfiets.com,ft
Housekeep,Technology,United Kingdom,25,7.3,https://www.housekeep.com,ft
Mikienergy,Energy,Japan,5,8.62,https://mikienergy.com/,ft
closip,Cyber Security,Japan,12,1.43,https://www.closip.co.jp/,ft
Coda Payments,Fintech,Singapore,232,144.86,https://www.codapayments.com/,ft
Hyper Anna,Technology,Australia,40,1.86,https://www.hyperanna.com/,ft
Sun Protection Apparel,Ecommerce,Australia,12,1.89,https://www.solbari.com/,ft
The Future of Cooking,Retail,Singapore,10,8.35,https://thermomix.com.sg/,ft
HCL-Logistics,Transport,Germany,24,11.387.156,https://www.hcl-logistics.de/,ft
jobandtalent,Technology,Spain,783,271.481.287,https://www.jobandtalent.com,ft
Landbay Partners,Financial Services,UK,98,9.155.241,https://www.landbay.co.uk,ft
Crep Protect,Fashion,United Kingdom,29,28.7,https://www.crepprotect.com,ft
Loship,Food & Beverage,Vietnam,200,14.54,https://loship.vn/,ft
First Circle,Financial Services,Philippines,108,5.62,https://www.firstcircle.ph/,ft
CloudWave,Technology,Australia,18,3.77,https://www.cloudwave.com.au/,ft
Dementia Caring ,Health,Australia,219,20.56,https://www.dementiacaring.com.au/,ft
Dana Brata Luhur,Transport,Indonesia,193,26.85,http://www.tebe.co.id/,ft
Fabelio,Retail,Indonesia,344,13.04,https://fabelio.com/,ft
Popsa,Technology,UK,34,21.455.864,https://popsa.com/,ft
Chilly's Bottles,Retail,UK,371,35.348.422,https://www.chillysbottles.com,ft
Viajes Libratur (iTravex),Travel & Leisure,Spain,62,43.7,https://itravex.es,ft
Mohan Electro Casting,Industrial Goods,India,35,3.23,https://www.mepl-mmw.com/,ft
GTOG International,Sales & Marketing,South Korea,25,35.34,https://www.goodtogreat.co.kr/,ft
WAVE Life Sciences,Health,Singapore,301,15.84,https://wavelifesciences.com/,ft
SkillLane,Education,Thailand,44,3.05,https://www.skilllane.com/,ft
Unit8,Technology,Switzerland,41,7.234.981,https://unit8.com/,ft
safe4u,Technology,Germany,9,6.700.000,https://safe4u.de,ft
Darktrace,Cyber Security,United Kingdom,618,36.1,https://www.darktrace.com,ft
OakNorth Bank,Fintech,United Kingdom,200,67.91,https://www.oaknorth.com/,ft
NKC ASIA,Technology,Japan,90,37.92,https://www.nkc-asia.com/,ft
TheMathCompany,Management Consulting,India,494,13.85,https://themathcompany.com/,ft
SelfWealth,Fintech,Australia,34,12.64,https://www.selfwealth.com.au/,ft
Be Fit Food,Health,Australia,25,5.21,https://www.befitfood.com.au/,ft
Comma Entertainment,Advertising,South Korea,10,1.47,https://www.comma-entertainment.com/,ft
Tangerine Telecom,Telecoms,Australia,90,13.62,https://www.tangerinetelecom.com.au/,ft
Luoto Company,Technology,Finland,49,14.338.668,https://www.luotocompany.com/,ft
Journi Print,Ecommerce,Austria,29,6.851.839,https://www.journiapp.com/,ft
bunq,Fintech,Netherlands,96,8.808.633,https://www.bunq.com,ft
NBWM,Fintech,Netherlands,30,6.7,https://www.nbwm.nl,ft
Wolt Enterprises,Technology,Finland,293,30.07,https://wolt.com/,ft
Bolt Technology,Technology,Estonia,700,79.68,https://bolt.eu/,ft
Whatfix,Technology,India,471,13.45,https://whatfix.com/,ft
Sprintlaw,Law,Australia,25,1.70,https://sprintlaw.com.au/,ft
Metal Heart,Retail,South Korea,3,14.73,file:///Users/chris.campbell/Downloads/NA,ft
SaaS Labs,Technology,India,52,1.93,https://saaslabs.co/,ft
Top Reform,Construction,Japan,13,6.56,https://www.topreform.jp/,ft
Shopline,Ecommerce,Hong Kong,301,21.85,https://shopline.hk/,ft
Portify,Support Services,France,228,11.583.215,https://www.portify.fr/,ft
Tibber,Energy,Norway,45,30.886.935,https://tibber.com/,ft
Bolt Technology,Technology,Estonia,1438,148.227.430,https://bolt.eu,ft
Scalable Capital,Fintech,Germany,115,7.065.436,https://de.scalable.capital,ft
Bis Rénovation Energie,Construction,France,80,13.5,https://www.bis-renovation-energie.com,ft
Elements Global Services,Support Services,Spain,38,26.25,https://elementsgs.com/,ft
Les Eco-Isolateurs,Construction,France,67,32.98,https://www.les-eco-isolateurs.com/,ft
Drive Yello,Transport,Australia,60,7.84,https://www.driveyello.com/,ft
Different Millions . Inc,Beauty,South Korea,38,4.52,https://www.dmil.kr/,ft
Stay Gold,Property,Japan,3,9.40,https://www.stayg.jp/,ft
upGrad,Education,India,1100,23.05,https://www.upgrad.com/,ft
Capital India Finance,Financial Services,India,,14.59,https://www.capitalindia.com/,ft
IGOODS,Sales & Marketing,Japan,20,6.26,https://www.i-goods.co.jp/,ft
Rascal Industry,Fashion,Poland,18,9.008.822,https://www.rascalindustry.pl/en/,ft
Pegaso Security,Support Services,Italy,509,8.375.180,https://www.pegasosecurity.it/,ft
Kubrick Group,Management Consulting,UK,335,21.304.174,https://kubrickgroup.com,ft
Gojob,Management Consulting,France,105,23.062.711,https://gojob.com,ft
Donatella*,Food & Beverage,Germany,10,7.5,https://www.donatella.de,ft
Gismart,Games industry,United Kingdom,150,57.65,https://gismart.com/,ft
PicoCELA,Technology,Japan,25,2.03,https://picocela.com/,ft
Parcelport,Ecommerce,New Zealand,10,3.98,https://parcelport.co.nz/,ft
Dwarves Foundation,Technology,Vietnam,45,1.00,https://dwarves.foundation/,ft
Dable,Media,South Korea,72,15.70,http://dable.io/en/,ft
Jayride Group,Travel & Leisure,Australia,112,2.84,https://www.jayride.com/,ft
NJ-ENEX,Retail,Japan,30,10.18,https://nj-enex.co.jp/,ft
Tide,Fintech,UK,581,16.136.633,https://www.tide.co/,ft
Euro Top Brand,Retail,Italy,1,13.888.900,https://www.eurotopbrand.com,ft
Happybrush,Health,Germany,12,5.903.800,https://www.happybrush.de,ft
Huma Therapeutics,Health,UK,101,6.177.442,https://www.huma.com,ft
KUPELA,Food & Beverage,France,5,7.4,https://www.kupela.fr,ft
Enens,Energy,France,2,100.98,https://www.enens.fr/,ft
Funding Societies,Fintech,Singapore,353,16.29,https://fundingsocieties.com/,ft
Foresee Pharmaceuticals ,Pharmaceuticals,Taiwan,,7.79,https://www.foreseepharma.com/,ft
Miss Amara,Ecommerce,Hong Kong,54,11.26,https://missamara.com/,ft
PLAYGROUND XYZ,Technology,Australia,33,18.21,https://playground.xyz/,ft
Nium,Fintech,Singapore,334,7.32,https://www.nium.com/,ft
Bold Security Group,Support Services,UK,26,6.238.378,https://www.bold.co.uk/,ft
Play Magnus Group,Games industry,Norway,140,6.461.790,https://www.playmagnusgroup.com/,ft
Mews Systems,Technology,Netherlands,400,22.386.000,https://www.mews.com,ft
Jungle Creations,Media,United Kingdom,110,11.7,https://www.junglecreations.com,ft
Qred Företagslån*,Fintech,Sweden,26,13.65,https://qred.com/en-se/,ft
Smartworks Coworking Spaces,Property,India,309,42.93,https://www.smartworksoffice.com/,ft
Incomlend,Fintech,Singapore,37,2.73,https://incomlend.com/,ft
GATES,Property,Japan,90,88.58,https://gatestokyo.co.jp/,ft
Curio Group,Education,Australia,75,4.55,https://www.curio.co/,ft
Apollo Tricoat Tubes,Industrial Goods,India,206,94.35,http://apollotricoat.com/,ft
SQREEM Technologies,Technology,Singapore,101,5.57,https://www.sqreemtech.com/,ft
Blue Whale Growth Fund,Financial Services,UK,7,5.189.391,https://bluewhale.co.uk/,ft
Kazidomi,Ecommerce,Belgium,65,8.042.499,https://www.kazidomi.com/en/,ft
BONMEA,Retail,Germany,4,7.700.000,https://www.bonmea.com,ft
FIDUCIM,Property,France,8,8.3,https://www.fiducim.fr,ft
Mamma 2.0,Ecommerce,Italy,19,7.21,https://it.mukako.com/,ft
In Touch Networks,Technology,United Kingdom,114,8.40,https://intouchnetworks.com/,ft
GLOCAL NET,Telecoms,Japan,9,24.79,https://glocalnet.jp/,ft
Wafour Corporation,Media,South Korea,11,2.87,http://www.wafour.com/,ft
Bomsen,Advertising,South Korea,20,2.66,https://www.bomsen.co.kr/,ft
SBWorks,Technology,Japan,18,4.26,https://www.sbworks.jp/,ft
InstaSafe,Cyber Security,India,40,1.88,https://instasafe.com/,ft
Crowd Bank,Financial Services,Japan,30,27.96,https://crowdbank.jp/,ft
Sun Finance,Fintech,Latvia,800,121.306.296,https://sunfinance.group/,ft
Octopus Energy,Energy,UK,595,1.376.444.096,https://octopus.energy,ft
InStaff & Jobs,Support Services,Germany,22,5.1,https://www.instaff.jobs%20,ft
farmermobil,Industrial Goods,Germany,34,7.47,https://www.farmermobil.de/,ft
AD Corp.,Chemicals,South Korea,8,1.36,http://www.2017ad.co.kr/,ft
42Maru,Technology,South Korea,65,2.55,https://www.42maru.ai/,ft
Vyapar,Fintech,India,2.217,1.46,https://vyaparapp.in/,ft
KiMURA,Construction,Japan,15,7.32,https://www.kimura-gumi.jp/,ft
Crowd Credit,Fintech,Japan,70,4.43,https://www.crowdcredit.jp/,ft
Ecommerce Enablers,Ecommerce,Singapore,465,28.30,https://www.shopback.sg/,ft
Credimi,Financial Services,Italy,56,11.301.520,https://www.credimi.com/,ft
SIRPLUS,Retail,Germany,133,4.540.000,https://www.sirplus.de/,ft
Kickmaker,Technology,France,90,8.809.760,https://www.kickmaker.fr,ft
Eskimoz,Support Services,France,60,6.0,https://www.eskimoz.fr,ft
Holidu,Technology,Germany,100,13.12,https://www.holidu.de/,ft
Feiniko Handelsgesellschaft, Sales & Marketing ,Germany,6,25.60,https://www.feiniko.de/,ft
SIKSIN,Technology,South Korea,29,2.84,https://corp.siksinhot.com/,ft
LawTalk,Law,South Korea,53,2.62,https://www.lawtalk.co.kr/,ft
I’MWEB,Ecommerce,South Korea,40,6.68,https://www.imweb.me/,ft
mothergoose,Education,Japan,108,2.99,https://mothergoose.jp/,ft
Classe365,Education,Australia,19,1.84,https://www.classe365.com/,ft
AIHR | Academy to Innovate HR,Education,The Netherlands,31,3.584.553,https://www.aihr.com/,ft
Privitar,Technology,UK,122,7.004.555,https://www.privitar.com,ft
Tantal,Ecommerce,Germany,45,11.8,https://www.talea-naturkosmetik.de,ft
Franco Fresco,Food & Beverage,Germany,180,15.42,https://gustavo-gusto.de/,ft
Solbari,Ecommerce,Australia,16,3.51,https://www.solbari.com/,ft
InstaSafe,Technology,India,40,2.12,https://instasafe.com/,ft
Blue Wireless,Telecoms,Singapore,50,4.38,https://www.bluewireless.com/,ft
Archisound,Support Services,South Korea,9,3.46,http://www.archisound.co.kr/,ft
HLJ Technology,Technology,Taiwan,270,22.76,http://www.hlj.com.tw/,ft
Max Kelsen,Technology,Australia,24,3.51,https://maxkelsen.com/,ft
Logistics Capital Partners (LCP),Property,Luxembourg,27,210.563.743,https://www.logisticscapitalpartners.com/,ft
Südwest Invest,Property,Germany,10,5.820.402,https://suedwest-invest.de/,ft
Amco-Bulgaria,Retail,Bulgaria,15,6.729.216,https://www.amco-shop.com,ft
Buzzoole,Media,Italy,65,4.4,https://www.buzzoole.com,ft
Framery,Interiors,Finland,129,39.9,https://www.frameryacoustics.com,ft
MessengerPeople,Technology,Germany,68,6.72,https://www.messengerpeople.com/,ft
Foot District,Ecommerce,Spain,18,5.37,https://footdistrict.com/,ft
JCO Jewelry,Ecommerce,Singapore,21,6.13,https://www.jcojewellery.com/,ft
Torana (Toysub!),Education,Japan,160,1.16,https://torana.co.jp/,ft
wadiz,Fintech,South Korea,271,19.12,https://www.wadiz.kr/,ft
GoodMonitoring,Support Services,South Korea,21,1.57,http://www.goodmonitoring.com/,ft
Redhill Communications,Advertising,Singapore,75,3.19,https://redhill.world/,ft
Jeju Angel Car,Travel & Leisure,South Korea,25,4.49,http://www.jejuangeltour.com/,ft
CORADE (Plurimmo),Property,France,7,56.018.731,https://www.plurimmo.com/,ft
Carranco,Food & Beverage,Spain,5,4.176.440,https://www.carrancosl.com/,ft
EO Charging,Technology,UK,50,5.327.671,https://www.eocharging.com,ft
Metacrew Group,Advertising,Germany,52,14.0,https://www.metacrew.de,ft
Deelit Ventures,Travel & Leisure,Netherlands,21,7.06,https://www.camptoo.com/,ft
Pragma,Cyber Security,Singapore,18,1.09,https://www.pragmastrategy.com/,ft
ProjectCompany,Management Consulting,Japan,40,10.35,https://projectcompany.co.jp/,ft
SafeGold,Financial Services,India,42,56.10,https://www.safegold.com/,ft
RxMx,Technology,Australia,70,10.66,https://rxmxcorp.com/,ft
Tutor2You,Education,Australia,40,1.73,https://tutor2you.com.au/,ft
Supplycart,Technology,Malaysia,26,1.86,https://www.supplycart.my/,ft
Telemedi,Health,Poland,50,4.452.513,https://telemedi.com/pl/,ft
Inkitt,Technology,Germany,56,5.926.970,https://www.inkitt.com/,ft
Fastned,Technology,Netherlands,47,6.398.000,https://fastnedcharging.com,ft
GF Genovate*,Energy,United Kingdom,43,20.3,https://www.greenfroggenovate.co.uk,ft
ID Finance Investments,Fintech,Spain,399,41.00,https://idfinance.com/,ft
getAir,Industrial Goods,Germany,,5.30,https://www.getair.eu/,ft
Minfy Technologies,Technology,India,250,13.83,https://www.minfytech.com/,ft
M2P Fintech,Fintech,India,330,5.15,https://m2pfintech.com/,ft
Cardoc,Technology,South Korea,67,14.42,https://www.cardoc.co.kr/,ft
North Star Management,Management Consulting,Japan,9,2.76,https://www.northstar.co.jp/,ft
Agilesoda,Financial Services,South Korea,62,3.63,http://www.agilesoda.ai/,ft
Hope,Support Services,Japan,167,132.43,https://www.zaigenkakuho.com/,ft
H.K.Trading,Retail,Italy,2,5.721.590,https://www.kadamanitrading.it/,ft
Foot District,Ecommerce,Spain,40,10.393.000,https://footdistrict.com,ft
TenderHut,Technology,Poland,200,3.7,https://www.tenderhut.com,ft
PastBook,Ecommerce,Netherlands,15,9.16,https://www.pastbook.com/,ft
Supermercato24,Ecommerce,Italy,80,14.00,https://www.supermercato24.it/,ft
GGDP,Advertising,South Korea,14,1.71,http://www.motnt.kr/,ft
excess2sell,Ecommerce,India,12,13.39,https://www.excess2sell.com/,ft
Reflow Hub,Technology,Australia,10,25.46,https://www.joinreflow.com/,ft
Ryukyu Style,Advertising,Japan,9,11.79,https://www.ryukyustyle.co.jp/,ft
Zomato,Ecommerce,India,,5.60,https://www.zomato.com/,ft
Attest,Technology,UK,124,4.864.178,https://www.askattest.com/,ft
ID Finance Investments,Fintech,Spain,400,81.424.000,https://www.idfinance.com,ft
AND Digital,Technology,United Kingdom,234,20.9,https://and.digital,ft
Donatella,Food & Beverage,Germany,10,8.50,https://www.donatella.de/,ft
Futureplay*,Games industry,Finland,26,10.36,http://www.futureplaygames.com/,ft
Spark Systems,Fintech,Singapore,49,1.27,https://www.sparksystems.sg/,ft
E42 (formerly NLPBOTS),Technology,India,37,1.48,https://www.e42.ai/,ft
AirX,Aerospace & Defence,Japan,9,1.44,https://airx.co.jp/,ft
Prince Education,Education,Singapore,8,1.47,https://www.facebook.com/princeducation/,ft
Hivery,Technology,Australia,33,3.59,https://www.hivery.com/,ft
Sanmi,Restaurants,Japan,7,2.91,https://www.333sanmishopping.com/,ft
LGM IMMOBILIER,Property,France,11,2.549.778,https://www.lgm-immobilier.fr/,ft
Wolfram Chain*,Management Consulting,The Netherlands,29,2.431.371,https://www.wolframchain.nl/,ft
NISA Gebäudeservice,Construction,Germany,220,4.329.710,http://www.nisa.services,ft
Velocity Mobile,Technology,UK,52,8.214.698,https://www.velocity.black,ft
Perkbox,Technology,United Kingdom,161,40.7,https://www.perkbox.com,ft
Jobandtalent ,Technology,Spain,302,137.60,https://www.jobandtalent.com/,ft
Jungle Creations,Media,United Kingdom,135,18.08,https://junglecreations.com/,ft
Sqreem Technologies,Technology,Singapore,175,5.85,https://sqreemtech.com/,ft
Taiwan Cogeneration Corporation,Energy,Taiwan,296,314.83,http://www.cogen.com.tw/,ft
Astro Group,Games industry,Taiwan,170,11.99,http://www.astrocorp.com.tw/,ft
Partners,Property,Japan,70,40.40,https://www.partners-re.co.jp/,ft
Microwave Chemical,Chemicals,Japan,48,9.67,https://www.mwcc.jp/,ft
TechForce Services,Technology,Australia,21,2.53,https://techforceservices.com.au/,ft
RightNow,Technology,Germany,38,8.951.132,https://www.rightnow.de/,ft
EO Charging,Technology,UK,63,17.158.962,https://www.eocharging.com/,ft
LMM Logistics,Transport,Italy,5,11.509.009,http://www.lmmlogistics.com,ft
Kolinpharma,Pharmaceuticals,Italy,22,4.1,https://www.kolinpharma.com,ft
#sinob,Retail,Germany,14,4.95,https://www.sinob.de/,ft
Arcontek Co.. Ltd.,Industrial Goods,South Korea,11,1.28,http://www.arconkor.com/,ft
AD Intelligence,Advertising,South Korea,25,1.75,https://www.ad-i.com/,ft
SoLabo,Management Consulting,Japan,50,4.80,https://so-labo.co.jp/,ft
SONICON CONSTRUCTION,Construction,Malaysia,26,1.28,https://coringmalaysia.com/,ft
inglewood,Ecommerce,Japan,140,102.55,https://www.inglewood.co.jp/,ft
Paidy,Fintech,Japan,131,12.88,https://www.paidy.com/,ft
CheTariffa.it,Support Services,Italy,9,2.495.860,https://chetariffa.it/,ft
Franco Fresco,Food & Beverage,Germany,202,31.334.340,http://www.gustavogusto.com,ft
Anteco Systems,Technology,Spain,190,5.0,https://www.anytech365.com,ft
Global-e Online,Ecommerce,United Kingdom,179,37.22,https://www.global-e.com/,ft
Artience,Support Services,South Korea,78,12.22,http://www.artience.co.kr/,ft
Vahdam India,Food & Beverage,India,400,21.46,https://www.vahdamteas.com/,ft
Increff,Technology,India,113,4.68,https://www.increff.com/,ft
Cyber Security Cloud,Cyber Security,Japan,30,7.51,https://www.cscloud.co.jp/,ft
GA technologies,Property,Japan,314,355.88,https://www.ga-tech.co.jp/en/,ft
SuperOx Japan,Industrial Goods,Japan,18,4.66,http://www.superoxjapan.com/,ft
Simply,Financial Services,UK,90,16.483.836,https://simply.finance/,ft
Salary Finance,Fintech,UK,187,8.593.220,https://www.salaryfinance.com/uk/,ft
Gellify,Technology,Italy,41,3.548.132,https://www.gellify.com,ft
Kavera Elektrotechnik,Technology,Germany,70,3.374.120,https://www.kavera.de,ft
Tooploox,Technology,Poland,104,4.7,https://www.tooploox.com,ft
Rinah,Retail,Italy,5,19.51,https://www.danjohn.it/,ft
Zeal Digital,Advertising,Australia,60,2.09,https://www.zealdigital.com.au/,ft
Homage Co,Health,Singapore,120,5.07,https://www.homage.sg/,ft
Postype,Media,South Korea,19,2.94,https://www.postype.com/,ft
HOEC,Energy,India,100,25.53,https://www.hoec.com/,ft
Isprava,Construction,India,116,7.30,https://www.isprava.com/,ft
DBT,Fintech,Sweden,10,3.837.994,https://www.dbt.se/,ft
Mg Project,Telecoms,Italy,34,8.036.749,https://www.mg-project.com,ft
Musement**,Travel & Leisure,Italy,67,8.9,https://www.musement.com/it,ft
Domator24.com,Personal & Household Goods,Poland,40,18.79,https://www.domator24.com/,ft
Shuumatsu Worker,Support Services,Japan,40,8.72,https://company.shuuumatu-worker.jp/,ft
My Rewards,Technology,Australia,11,10.11,https://www.myrewardsinternational.com/,ft
NJ-ENEX,Retail,Japan,45,18.62,https://nj-enex.co.jp/,ft
Grain,Food & Beverage,Singapore,155,9.96,https://grain.com.sg/,ft
Indiabulls Ventures,Financial Services,India,,413.91,https://www.indiabullsventures.com/,ft
Dipon Group,Construction,India,19,2.39,https://www.dipongroup.com/,ft
Tutlo,Education,Poland,140,7.778.203,https://pl.tutlo.com/,ft
Ponera,Ecommerce,France,27,25.901.607,https://www.ponera.fr/,ft
Grover Group,Ecommerce,Germany,103,14.934.485,https://www.grover.com,ft
Spotawheel,Automobiles,Greece,86,10.335.899,https://www.spotawheel.com,ft
DMS,Media,Germany,18,14.4,https://www.druck-media-service.com,ft
UPLINK Network,Telecoms,Germany,29,20.53,https://www.uplink-network.de/,ft
Trouva,Technology,United Kingdom,80,11.67,https://www.trouva.com/,ft
Logispot,Transport,South Korea,85,32.75,https://www.logi-spot.com/,ft
SpaceCloud,Property,South Korea,22,2.02,https://www.spacecloud.kr/,ft
Macarong Factory,Automobiles,South Korea,20,1.07,https://www.mycle.co.kr/,ft
Kinara Capital,Financial Services,India,1235,31.80,https://www.kinaracapital.com/,ft
CB. Ltd,Management Consulting,Japan,10,9.81,,ft
Calleo,Support Services,Australia,170,19.63,https://www.calleo.com.au/,ft
Active Energy Solutions,Energy,Greece,2,13.312.033,https://www.active-energy.gr/,ft
