company_name,company_industry,company_country,company_employees,company_nace_code,link,file_name
Tera Automation,Industrial Goods,Italy,20,4.987.860,https://www.tera-automation.com/,ft
Innova Hts,Health,Italy,16,8.792.400,https://www.innovahts.com/,ft
Tresorit,Cyber Security,Hungary,117,6.537.133,https://tresorit.com,ft
Supperfood,Food & Beverage,Netherlands,8,6.6,https://supperfood.nl,ft
CN-Consult,Technology,Germany,22,2.3,https://www.cn-consult.eu,ft
Exclaimer Group,Technology,United Kingdom,68,13.85,https://www.exclaimer.com/,ft
Cloudfm Integrated Services,Support Services,United Kingdom,164,64.20,https://cloudfmgroup.com/,ft
Kentigen,Technology,Czech Republic,20,1.507.867,https://www.kentigen.com/,ft
Egarri,Agricultural Commodities,France,10,11.412.179,https://www.egarri.com,ft
Logisan,Health,Italy,13,24.5,https://www.logisan.com,ft
4net Technologies,Telecoms,United Kingdom,68,22.04,https://www.4net-technologies.com/,ft
Teal Partners,Technology,Belgium,23,3.873.750,https://www.tealpartners.com/en/,ft
EET,Construction,Italy,35,3.012.724,https://www.eetimpianti.it,ft
Outscale**,Technology,France,103,25.6,https://www.outscale.com,ft
Northwave,Cyber Security,Netherlands,61,6.41,https://www.northwave-security.com/,ft
ETS,Construction,Italy,22,5.41,https://www.etsingegneria.it/,ft
LM Medical Division,Health,Italy,47,11.281.040,https://www.lmmedicaldivision.com/,ft
Dartmouth Partners,Support Services,UK,93,12.856.936,https://www.dartmouthpartners.com,ft
Haarhoff,Sales & Marketing,Germany,32,17.5,https://www.haarhoff-gmbh.de,ft
LT Metal Partners,Industrial Goods,Lithuania,13,5.69,http://www.metalpartners.lt/?lang=en,ft
BEC,Technology,Germany,47,7.843.183,https://www.b-e-c.de/,ft
On Ze Air,Media,France,23,2.298.750,https://onzeair.com,ft
Universal Iberland,Food & Beverage,Spain,5,21.2,https://universaliberland.com,ft
Constaff,Technology,Germany,55,19.64,https://www.constaff.com/,ft
Xylon,Technology,Croatia,81,4.491.888,https://xylon-lab.com/,ft
tecRacer Consulting,Technology,Germany,45,8.040.000,https://www.tecracer.de,ft
Progetto,Interiors,Italy,14,4.7,https://www.laprogetto.it,ft
Des Composites,Support Services,Italy,16,1.77,https://www.descomposites.com/,ft
PCM Granitos Moldurados,Industrial Goods,Spain,33,2.05,https://www.pcmmasene.com/,ft
Spedition Kai Rindert,Transport,Germany,9,3.018.684,http://www.spedition-rindert.de/,ft
CO.GE.SA. Costruzioni Generali Saba,Construction,Italy,22,3.453.730,https://www.cogesacostruzionisaba.it/,ft
Symprove,Food & Beverage,UK,82,8.564.877,https://www.symprove.com,ft
Scanbot / doo GmbH,Technology,Germany,23,2.831.100,https://scanbot.io,ft
Ziegler Logistik,Transport,Germany,146,27.3,https://www.ziegler.global,ft
Codedose,Technology,Poland,30,1.58,https://codedose.com/,ft
Skärgårdstunnan/Skargards,Ecommerce,Sweden,20,15.082.088,https://www.skargards.com/,ft
Autonova Milano,Automobiles,Italy,14,2.790.680,https://autonovamilano.it/,ft
Yellow Submarine,Restaurants,Croatia,77,4.500.000,http://n/a,ft
Raven Logistic,Transport,Germany,40,5.1,https://www.raven-logistic.de,ft
Smart AdServer,Technology,France,180,92.79,https://www.smartadserver.fr/,ft
bitgrip,Technology,Germany,29,2.82,https://www.bitgrip.de/,ft
Polarstern,Energy,Germany,40,30.270.074,https://www.polarstern-energie.de/,ft
halsdorfer + ingenieure projekt,Property,Germany,15,31.038.460,https://www.halsdorfer-ingenieure.de/,ft
Oxbotica,Technology,UK,151,4.393.601,https://www.oxbotica.com,ft
Done Deliveries,Transport,Poland,90,11.8,http://www.donedeliveries.com,ft
Place to Be Media,Media,France,9,4.20,https://www.placetobemedia.com/,ft
S.C Carcover,Transport,Romania,61,3.53,https://carcover.ro/,ft
OPNA,Support Services,France,23,2.317.903,https://opna.fr/,ft
Stikets,Ecommerce,Spain,39,9.318.626,https://www.stikets.es/,ft
Pomilio Blumm,Advertising,Italy,40,23.562.064,https://pomilioblumm.eu,ft
Deghi,Ecommerce,Italy,42,25.6,https://www.deghishop.it,ft
Swirrl IT,Technology,United Kingdom,11,1.50,https://www.swirrl.com/,ft
CampuStore,Education,Italy,18,34.410.600,https://www.campustore.it/,ft
Ars Futura,Technology,Croatia,27,1.580.154,https://arsfutura.com/,ft
Schlimgen Logistics Solutions,Transport,Germany,92,8.660.000,https://www.schlimgen.com,ft
Florence Consulting Group,Technology,Italy,70,9.528.344,https://www.florence-consulting.it,ft
Infomobility.It**,Technology,Italy,53,8.9,https://www.infomobility.it,ft
Cloud Technology Solutions,Technology,United Kingdom,123,29.63,https://www.cloudsolutions.co.uk/,ft
Artos,Food & Beverage,Germany,8,8.82,http://www.artos.ag/,ft
Cemir Security,Support Services,Italy,116,2.835.330,https://www.cemirsecurity.it/,ft
Borgy CZ,Personal & Household Goods,Czech Republic,60,22.419.033,https://www.borgy.eu/,ft
PersonalHub Holding,Support Services,Germany,15,5.100.000,https://www.personalhub.de,ft
Digitalmind,Advertising,Italy,14,2.7,https://www.digital-mind.it/,ft
Supply Unique (Coffee Island)*,Food & Beverage,Greece,182,31.6,https://www.coffeeisland.gr,ft
ECOLOG innovation,Industrial Goods,France,16,3.09,https://www.ecolog-innovation.fr/,ft
Groupe Zephyr,Health,France,600,16.264.645,https://www.groupe-zephyr.fr/,ft
Dernier Cri,Technology,France,57,3.956.061,https://derniercri.io/,ft
dobar e-Commerce,Retail,Germany,8,3.455.990,https://www.dobar.de,ft
FJ Trading (Jomodo),Retail,Germany,24,27.566.990,https://jomodo.de,ft
Neteem,Support Services,France,59,8.6,https://www.neteem.com,ft
Cobapharma,Pharmaceuticals,Spain,5,4.30,https://cobapharma.com/,ft
yes!devs,Technology,Germany,37,2.200.000,https://www.yesdevs.com/,ft
Hydroflex Group,Retail,Germany,36,13.166.000,https://hydroflex-group.com/,ft
HIRSCHTEC,Technology,Germany,101,10.340.000,https://www.hirschtec.eu,ft
Linkinpartner Europe,Transport,Germany,23,13.9,https://www.linkinpartner.de,ft
Capsicum Reinsurance Brokers,Insurance,United Kingdom,142,54.92,https://www.capsicumre.com/,ft
Proteko Service,Support Services,Italy,31,5.502.450,https://www.proteko.it/,ft
Alterboutique,Retail,France,17,2.756.656,http://www.alterboutique.com,ft
Teicos Ue,Construction,Italy,6,4.1,https://www.teicosgroup.com,ft
Bentley InnoMed,Health,Germany,120,30.17,https://www.bentley.global/,ft
MiniCRM,Technology,Hungary,26,2.232.347,https://www.minicrm.hu/,ft
Seingim Global Service,Support Services,Italy,95,8.711.339,https://www.seingim.it,ft
Flextra Trading & Service*,Energy,Germany,2,7.0,https://www.flextra.de,ft
ioon Technologies,Technology,Spain,82,3.61,https://www.ioon-technologies.com/,ft
CNQ Consorzio Nazionale Qualità,Waste management & recycling,Italy,39,2.151.050,https://www.consorzionazionalequalita.org/,ft
Golden Gates Technologiemetalle,Retail,Germany,2,2.791.380,https://www.goldengates-tm.de,ft
VisiConsult,Industrial Goods,Germany,51,13.6,https://www.visiconsult.de,ft
Freepik Company,Technology,Spain,118,17.06,https://www.freepik.com/,ft
Accolade,Property,Czech Republic,,83.981.636,https://accolade.eu/,ft
Mucci Carburanti,Energy,Italy,4,215.509.027,https://www.muccicarburanti.it,ft
Everything Unlocked,Health,United Kingdom,31,2.3,https://www.healthunlocked.com,ft
GROUPE QUINTÉSENS,Financial Services,France,29,24.89,https://www.groupe-quintesens.fr/,ft
Ad's up Consulting,Media,France,48,6.00,https://www.ads-up.fr/,ft
Panel Sandwich,Construction,Spain,27,9.637.845,https://www.panelsandwich.com/,ft
SYMBIOSE Informatique,Technology,France,32,33.080.096,https://www.symbiose.fr/,ft
Via Ingegneria,Support Services,Italy,10,8.097.625,https://www.via.it,ft
Gruppo M,Automobiles,Italy,50,54.0,https://www.lexus-bologna.it,ft
Pure Gaming,Retail,France,1,2.92,https://www.pure-gaming.fr/,ft
Vilageo.com,Property,France,32,2.13,https://www.vilageo.com/,ft
G.Engineering,Industrial Goods,Italy,51,16.504.780,https://www.gengineering.net/,ft
I-PARTICULIERS,Property,France,200,4.071.600,https://www.i-particuliers.fr/,ft
Mobilshop,Telecoms,Germany,18,110.658.110,http://www.mobilshop-tk.de,ft
Codewise,Advertising,Poland,156,39.0,https://www.codewise.com,ft
SIAN Wholesale,Personal & Household Goods,United Kingdom,30,46.00,https://www.sianwholesale.com/,ft
Henco,Retail,Germany,48,6.970.679,https://www.henco-bikes.de/,ft
Le Fonti,Media,Italy,12,3.941.407,https://www.lefonti.it,ft
LUNOS,Energy,Slovenia,11,2.0,https://www.lunos.si,ft
Softech,Technology,Romania,88,3.32,https://www.softech.ro/,ft
UAB Hostinger,Technology,Lithuania,300,12.16,https://www.hostinger.com/,ft
Giglio.com,Ecommerce,Italy,53,25.355.630,https://www.giglio.com/,ft
Alphaspel,Retail,Sweden,16,4.535.769,https://alphaspel.se/,ft
Merkkur,Retail,Germany,7,10.931.620,https://www.merkkur.de,ft
E.D. Elettronica Dedicata,Technology,Italy,13,1.777.238,https://www.elettronicadedicata.it,ft
Future Consulting,Support Services,Germany,27,50.1,https://www.future-consulting.de,ft
Shopper Media Group,Sales & Marketing,United Kingdom,100,34.81,https://www.shoppermediagroup.com/,ft
GLASS EXPRESS,Automobiles,France,27,3.84,https://www.glass-express.fr/,ft
