company_name,industry,sector,headquarters,file_name
Rosenbauer,Industrials,Commercial vehicles & trucks,Leonding,MalPatSaj_wikipedia
Rotax,Industrials,Auto components,Gunskirchen,MalPatSaj_wikipedia
Runtastic,Technology,Software,Pasching,MalPatSaj_wikipedia
Semperit,Basic materials,Commodity chemicals,Vienna,MalPatSaj_wikipedia
SKIDATA,Industrials,Electronic equipment,Grödig,MalPatSaj_wikipedia
Steyr Mannlicher,Industrials,Defense,Sankt Ulrich bei Steyr,MalPatSaj_wikipedia
Steyr Motors GmbH,Industrials,Auto components,Sankt Ulrich bei Steyr,MalPatSaj_wikipedia
Steyr Tractor,Consumer goods,Automobiles,Floridsdorf,MalPatSaj_wikipedia
Strabag,Industrials,Heavy construction,Vienna,MalPatSaj_wikipedia
Stroh,Consumer goods,Distillers & vintners,Klagenfurt,MalPatSaj_wikipedia
Swarovski,Consumer goods,Clothing & accessories,Wattens,MalPatSaj_wikipedia
Taurob,Robotics,Autonomous robots,Vienna,MalPatSaj_wikipedia
Telekom Austria,Telecommunications,Fixed line telecommunications,Vienna,MalPatSaj_wikipedia
TourRadar,Consumer services,Travel & tourism,Vienna,MalPatSaj_wikipedia
Tushek&Spigel Supercars,Consumer goods,Automobiles,Graz,MalPatSaj_wikipedia
Uniqa,Financials,Full line insurance,Vienna,MalPatSaj_wikipedia
Verbund,Utilities,Alternative electricity,Vienna,MalPatSaj_wikipedia
Vienna Insurance Group,Financials,Full line insurance,Vienna,MalPatSaj_wikipedia
Voestalpine,Basic materials,Iron & steel,Linz,MalPatSaj_wikipedia
Wienerberger,Industrials,Building materials & fixtures,Vienna,MalPatSaj_wikipedia
Zumtobel Lighting Group,Industrials,Building materials & fixtures,Dornbirn,MalPatSaj_wikipedia
Abelag Aviation,Consumer services,Airlines,Zaventem,MalPatSaj_wikipedia
Ablynx,Health care,Biotechnology,Ghent[7],MalPatSaj_wikipedia
Ackermans & van Haaren,Conglomerates,-,Antwerp,MalPatSaj_wikipedia
AF Compressors,Industrials,Industrial Engineering,Liege,MalPatSaj_wikipedia
AG Real Estate,Financials,Real estate holding and development,Brussels,MalPatSaj_wikipedia
Ageas,Financials,Consumer finance,Brussels,MalPatSaj_wikipedia
Agfa-Gevaert,Technology,Computer services,Mortsel,MalPatSaj_wikipedia
Agoria,Industrials,Business support services,Brussels,MalPatSaj_wikipedia
AIM Productions,Technology,Computer services,Hove,MalPatSaj_wikipedia
Alpro,Consumer goods,Food products,Ghent[8],MalPatSaj_wikipedia
Anheuser-Busch InBev,Consumer goods,Brewers,Leuven,MalPatSaj_wikipedia
Antwerp Water Works,Utilities,Water,Antwerp,MalPatSaj_wikipedia
Aquafin,Utilities,Water,Antwerp,MalPatSaj_wikipedia
ASL Airlines Belgium,Industrials,Delivery services,Liège,MalPatSaj_wikipedia
Associated Weavers,Consumer goods,Clothing and accessories,Ronse,MalPatSaj_wikipedia
