company_name,company_industry,company_legal_form,file_name
Nagarro,IT Services & Consulting,Private,AmbitionBox
Viatris,Pharma,,AmbitionBox
Aditya Birla Fashion and Retail,Retail,Private,AmbitionBox
BigBasket,Internet,Private,AmbitionBox
Amdocs,Software Product,Private,AmbitionBox
CBRE,Real Estate,Private,AmbitionBox
Bosch Global Software Technologies,Software Product,Private,AmbitionBox
Indiamart Intermesh,Internet,Private,AmbitionBox
Godrej & Boyce Manufacturing,FMCG,Private,AmbitionBox
Schneider Electric,Industrial Automation,Private,AmbitionBox
Royal Enfield,Automobile,Private,AmbitionBox
UST,IT Services & Consulting,Private,AmbitionBox
Ford Motor,Other,Public,AmbitionBox
Ecom Express,Logistics,Private,AmbitionBox
JBM Group,Auto Components,Public,AmbitionBox
Equitas Small Finance Bank,Banking,Private,AmbitionBox
State Bank of India,Banking,,AmbitionBox
Dell,Consumer Electronics & Appliances,Private,AmbitionBox
ICICI Lombard General Insurance Company,Insurance,Public,AmbitionBox
Whitehat jr,EdTech,Private,AmbitionBox
Nagarjuna Construction Company,Engineering & Construction,Public,AmbitionBox
UnitedHealth,Healthcare,Private,AmbitionBox
Bajaj Auto,Automobile,Public,AmbitionBox
Muthoot Finance,NBFC,Public,AmbitionBox
Tata Communications,Telecom,Public,AmbitionBox
Muthoot Fincorp,NBFC,Private,AmbitionBox
John Deere,IT Services & Consulting,Private,AmbitionBox
GlobalLogic,IT Services & Consulting,Private,AmbitionBox
Dominos Pizza,Hospitality,Public,AmbitionBox
Cholamandalam Investment & Finance,NBFC,Private,AmbitionBox
Wipro Consumer Care & Lighting,FMCG,Private,AmbitionBox
L&T Financial Services,NBFC,Public,AmbitionBox
SBI Life Insurance Company,Insurance,Government,AmbitionBox
Capgemini Technology Services India Limited,,,AmbitionBox
Virtusa Consulting Services,IT Services & Consulting,Private,AmbitionBox
Axis Direct,Financial Services,Private,AmbitionBox
KEC International,Real Estate,Public,AmbitionBox
Hetero Drugs,Pharma,Private,AmbitionBox
LG Electronics,Consumer Electronics & Appliances,Public,AmbitionBox
Wipro Infotech,IT Services & Consulting,Private,AmbitionBox
Motherson Sumi Systems,Auto Components,Public,AmbitionBox
Sodexo,Facility Management Services,Private,AmbitionBox
Swiggy,Internet,Private,AmbitionBox
Thermax,Industrial Machinery,Public,AmbitionBox
Optum,Healthcare,Private,AmbitionBox
Abbott Healthcare,Pharma,Public,AmbitionBox
Intas Pharmaceuticals,Pharma,Private,AmbitionBox
Macleods Pharmaceuticals,Pharma,Public,AmbitionBox
Subros,Auto Components,Public,AmbitionBox
Automatic Data Processing (ADP),IT Services & Consulting,,AmbitionBox
VE Commercial Vehicles,Automobile,Private,AmbitionBox
Varun Beverages,Beverage,Public,AmbitionBox
Hindustan Coca Cola Beverages,Beverage,Private,AmbitionBox
Piramal Capital Housing Finance,NBFC,,AmbitionBox
L&T Technology Services,IT Services & Consulting,Public,AmbitionBox
Bel,Consumer Electronics & Appliances,Private,AmbitionBox
Randstad,,Private,AmbitionBox
Pidilite Industries,Chemicals / Agri Inputs,Public,AmbitionBox
CMS IT Services,IT Services & Consulting,Private,AmbitionBox
Indian Air Force,Defence & Aerospace,Private,AmbitionBox
CARS24,Internet,Private,AmbitionBox
Cgi Group,IT Services & Consulting,Private,AmbitionBox
American Express,Financial Services,Private,AmbitionBox
Alembic Pharmaceuticals,Pharma,Public,AmbitionBox
NatWest Group,Banking,Government,AmbitionBox
Alkem Laboratories,Pharma,Public,AmbitionBox
Gati kwe,Logistics,Private,AmbitionBox
Havells,Electrical Equipment,Public,AmbitionBox
Glenmark Pharmaceuticals,Pharma,Public,AmbitionBox
ABB Group,Electrical Equipment,Public,AmbitionBox
Deutsche Bank,Banking,Private,AmbitionBox
Shoppers Stop,Retail,Public,AmbitionBox
Simplex Infrastructures,Engineering & Construction,Public,AmbitionBox
Ipca Laboratories,Pharma,Public,AmbitionBox
Honda Motorcycle & Scooter,Automobile,Private,AmbitionBox
Atos,IT Services & Consulting,Private,AmbitionBox
DTDC Express,Logistics,Private,AmbitionBox
DCB Bank,Banking,Private,AmbitionBox
Reliance Nippon Life Insurance,Insurance,Private,AmbitionBox
Arvind Group,Fashion & Textile,Public,AmbitionBox
Hindalco Industries,Metals & Mining,Public,AmbitionBox
McDonald's,Hospitality,Private,AmbitionBox
Suzlon Group,Power,Public,AmbitionBox
Muthoot Group,NBFC,Public,AmbitionBox
Conduent,BPO,Private,AmbitionBox
Wipro Enterprises Ltd,IT Services & Consulting,,AmbitionBox
Standard Chartered Bank,Financial Services,Private,AmbitionBox
Team Lease,Recruitment,Public,AmbitionBox
Standard Chartered Bank,Financial Services,Private,AmbitionBox
24/7 Customer,Software Product,Private,AmbitionBox
Maersk,Logistics,Private,AmbitionBox
Vishal Mega Mart,Retail,Private,AmbitionBox
KocharTech,IT Services & Consulting,Private,AmbitionBox
Ekart Logistics,Logistics,Private,AmbitionBox
MRF Tyres,Auto Components,Public,AmbitionBox
Bajaj Electricals,Consumer Electronics & Appliances,Public,AmbitionBox
Titan Company,Other,Public,AmbitionBox
Lava International,Telecom,Public,AmbitionBox
Publicis Sapient,IT Services & Consulting,Private,AmbitionBox
Bank of America,Banking,Private,AmbitionBox
Ceat Tyres,Auto Components,Public,AmbitionBox
Huawei Technologies,IT Services & Consulting,Private,AmbitionBox
Tata AIA Life Insurance,Insurance,Private,AmbitionBox
Jindal Steel and Power,Iron & Steel,Private,AmbitionBox
RSPL Group,FMCG,Private,AmbitionBox
Torrent Pharmaceuticals,Pharma,Public,AmbitionBox
ITC Infotech India,IT Services & Consulting,Private,AmbitionBox
PNB MetLife,Insurance,Private,AmbitionBox
Tractors and Farm Equipment,Automobile,Public,AmbitionBox
RBL Bank,Banking,Public,AmbitionBox
ACC,Building Material,Public,AmbitionBox
State Street Syntel,Financial Services,Private,AmbitionBox
Biocon Biologics India,Biotechnology,Public,AmbitionBox
Capita,BPO/KPO,Private,AmbitionBox
IndiGo,Logistics,Private,AmbitionBox
Utkarsh Small Finance Bank,Banking,Public,AmbitionBox
Berger Paints,Chemicals,Public,AmbitionBox
Future Retail,Retail,Public,AmbitionBox
Kotak Mahindara Life Insurance,Insurance,Public,AmbitionBox
Aarti Industries,Chemicals,Public,AmbitionBox
HDFC Ergo General Insurance,Insurance,Public,AmbitionBox
Dabur,FMCG,Public,AmbitionBox
Cogent E Services,BPO,Private,AmbitionBox
GeBBS Healthcare Solutions,BPO,Private,AmbitionBox
Apollo Tyres,Auto Components,Public,AmbitionBox
Persistent Systems,IT Services & Consulting,Public,AmbitionBox
KPIT Technologies,Software Product,Public,AmbitionBox
JK Cement,Building Material,Public,AmbitionBox
R1 RCM,Accounting & Auditing,Private,AmbitionBox
Patanjali Ayurved,FMCG,Private,AmbitionBox
Dilip Buildcon,Engineering & Construction,Public,AmbitionBox
Flex,Electronics Manufacturing,Private,AmbitionBox
PolicyBazaar,FinTech,Public,AmbitionBox
Rivigo,Internet,Private,AmbitionBox
Reliance Digital,Retail,Private,AmbitionBox
Tata Teleservices,Telecom,Public,AmbitionBox
Ola Cabs,Internet,Private,AmbitionBox
Access Healthcare,IT Services & Consulting,Private,AmbitionBox
Tata AIG,Insurance,Private,AmbitionBox
Aakash Educational Services,EdTech,Private,AmbitionBox
AFCONS Infrastructure,Real Estate,Partnership,AmbitionBox
Eureka Forbes,Consumer Electronics & Appliances,Private,AmbitionBox
Blue Dart Express,Logistics,Public,AmbitionBox
Radisson Hotels,Hospitality,Private,AmbitionBox
Landmark Group,Retail,Private,AmbitionBox
Paras Hospital,Healthcare,Private,AmbitionBox
JMC Projects,Engineering & Construction,Public,AmbitionBox
Escorts Group,Automobile,Public,AmbitionBox
Mankind Pharma,Pharma,Private,AmbitionBox
Legato Health Technologies,Healthcare,LLP,AmbitionBox
Nestle,Food Processing,Public,AmbitionBox
Lifestyle,Retail,Private,AmbitionBox
Max Healthcare,Healthcare,Partnership,AmbitionBox
Synechron,IT Services & Consulting,Private,AmbitionBox
Statestreet HCL Services,BPO,Private,AmbitionBox
I Process Services,Recruitment,Private,AmbitionBox
Birlasoft,IT Services & Consulting,Public,AmbitionBox
Fiserv,Financial Services,Private,AmbitionBox
G4S,Financial Services,Private,AmbitionBox
Voltas,Consumer Electronics & Appliances,Public,AmbitionBox
Zensar Technologies,IT Services & Consulting,Public,AmbitionBox
Birla Sun Life Insurance,Insurance,Private,AmbitionBox
United Phosphorus,Agro Chemicals,Public,AmbitionBox
Pfizer,Pharma,Public,AmbitionBox
AGS Health,Software Product,Private,AmbitionBox
Walmart,Retail,Private,AmbitionBox
Lenskart,Other,Private,AmbitionBox
Life Insurance Corporation of India,Insurance,Private,AmbitionBox
HCL Infosystems,IT Services & Consulting,Public,AmbitionBox
Aditya Birla Group,Metals & Mining,,AmbitionBox
HDFC Sales,Financial Services,Private,AmbitionBox
Reliance SMSL,BPO,Public,AmbitionBox
Delhi Public School,Education & Training,Public,AmbitionBox
Tata Technologies,IT Services & Consulting,Private,AmbitionBox
ACT Fibernet,Telecom,Private,AmbitionBox
Micro Labs,Pharma,Private,AmbitionBox
Samsung Electronics,,,AmbitionBox
Samsung Electronics,,,AmbitionBox
TVS Supply Chain Solutions,Logistics,,AmbitionBox
Ajanta Pharma,Pharma,Public,AmbitionBox
Extramarks Education,EdTech,Private,AmbitionBox
Exide Industries,Auto Components,Public,AmbitionBox
PepsiCo,Food Processing,Private,AmbitionBox
Cholamandalam MS General Insurance,Insurance,JV,AmbitionBox
Bajaj Allianz General Insurance Company Ltd,Financial Services,,AmbitionBox
Societe Generale,Financial Services,Private,AmbitionBox
R.R. Donnelley,BPO,Private,AmbitionBox
BHEL,Electrical Equipment,Private,AmbitionBox
Britannia,Food Processing,Public,AmbitionBox
Blue Star,Consumer Electronics & Appliances,Public,AmbitionBox
Kalyan Jewellers,Metals & Mining,Private,AmbitionBox
Mahindra Rural Housing Finance,Financial Services,Public,AmbitionBox
The Himalaya Drug Company,Pharma,Private,AmbitionBox
Renault-Nissan,Automobile,Private,AmbitionBox
Emcure Pharmaceuticals,Pharma,Private,AmbitionBox
Mahindra Holidays & Resorts,Hospitality,Private,AmbitionBox
PVR Cinemas,Media & Entertainment,Public,AmbitionBox
Raymond,Fashion & Textile,Public,AmbitionBox
BlackBuck,Logistics,Private,AmbitionBox
Poonawalla Fincorp,NBFC,Public,AmbitionBox
Dalmia Bharat Cement,Building Material,Public,AmbitionBox
IGT Solutions,IT Services & Consulting,Private,AmbitionBox
Sonalika Tractors,Automobile,Private,AmbitionBox
State Street Corporation,Financial Services,Private,AmbitionBox
Yazaki,Auto Components,Private,AmbitionBox
TVS Sundram Fasteners,Auto Components,Public,AmbitionBox
Exide Life Insurance,Insurance,Private,AmbitionBox
Sterling & Wilson,Real Estate,Private,AmbitionBox
Ambuja Cements,Building Material,Public,AmbitionBox
UNO Minda,Auto Components,,AmbitionBox
Parle Agro,Food Processing,Private,AmbitionBox
CG Power and Industrial Solutions,Electronics Manufacturing,Public,AmbitionBox
TVS Credit,NBFC,Public,AmbitionBox
Shree Cement,Building Material,Public,AmbitionBox
Exotic Learning,EdTech,Private,AmbitionBox
Shahi Exports,Import & Export,Private,AmbitionBox
V-Mart,Retail,Public,AmbitionBox
Force Motors,Automobile,Public,AmbitionBox
Datamatics Global Services,IT Services & Consulting,Public,AmbitionBox
Brakes India,Auto Components,Partnership,AmbitionBox
Indus Towers,Telecom,Private,AmbitionBox
Mahindra Logistics,Other,Public,AmbitionBox
Grasim Industries,Building Material,Public,AmbitionBox
Reliance Trends,Retail,Private,AmbitionBox
DS Group,FMCG,Private,AmbitionBox
café Coffee day,Beverage,Private,AmbitionBox
Shriram City,Financial Services,Public,AmbitionBox
Whirlpool,Consumer Electronics & Appliances,Public,AmbitionBox
Big Bazaar,Retail,Private,AmbitionBox
Indian Navy,Defence & Aerospace,Private,AmbitionBox
NIIT Technologies,IT Services & Consulting,Public,AmbitionBox
IKS Health,Healthcare,Private,AmbitionBox
ElasticRun,Logistics,Private,AmbitionBox
Bharti AXA Life Insurance,Insurance,Private,AmbitionBox
Delphi TVS,Auto Components,Private,AmbitionBox
Sterlite Technologies,Hardware & Networking,Public,AmbitionBox
Myntra,Retail,Private,AmbitionBox
XpressBees,Logistics,Private,AmbitionBox
Honda,Automobile,Private,AmbitionBox
3i Infotech,IT Services & Consulting,Public,AmbitionBox
Sobha,Real Estate,Public,AmbitionBox
BT Group,Telecom,Private,AmbitionBox
Kansai Nerolac Paints,Chemicals,Public,AmbitionBox
Tata Motors Finance,NBFC,Private,AmbitionBox
ICICI Securities,,Public,AmbitionBox
Indiabulls,NBFC,Public,AmbitionBox
Thomson Reuters,Printing & Publishing,Private,AmbitionBox
JK Tyres,Auto Components,Private,AmbitionBox
Cybage,IT Services & Consulting,Private,AmbitionBox
SRF,Chemicals / Agri Inputs,Public,AmbitionBox
Shell,Oil & Gas,Public,AmbitionBox
Bharat Petroleum,Oil & Gas,Private,AmbitionBox
Future Generali India Life Insurance,Insurance,Private,AmbitionBox
Lodha group,Real Estate,Private,AmbitionBox
Bhushan Power & Steel,Iron & Steel,Private,AmbitionBox
Johnson Controls,IT Services & Consulting,Public,AmbitionBox
Endurance Technologies,Auto Components,Public,AmbitionBox
Blinkit,Internet,Private,AmbitionBox
GE,Engineering & Construction,Private,AmbitionBox
JCB,Industrial Machinery,Private,AmbitionBox
Wockhardt,Pharma,Public,AmbitionBox
GVK Emergency Management and Research Institute,Non-Profit,Private,AmbitionBox
Crom?,Retail,Private,AmbitionBox
Barclays,Banking,Private,AmbitionBox
Zomato,Internet,Public,AmbitionBox
Gabriel India,Auto Components,Public,AmbitionBox
CSS Corp,IT Services & Consulting,Private,AmbitionBox
Lucas-TVS,Auto Components,Private,AmbitionBox
Coromandel International,Agriculture,Public,AmbitionBox
Kalpataru Power Transmission,Power,Public,AmbitionBox
Info Edge,Internet,Public,AmbitionBox
Cadila Pharmaceuticals,Pharma,Public,AmbitionBox
Saint-Gobain,Building Material,Private,AmbitionBox
Coforge,IT Services & Consulting,Public,AmbitionBox
Sopra Steria,IT Services & Consulting,Private,AmbitionBox
Square Yards,Real Estate,Private,AmbitionBox
Bureau Veritas,Accounting & Auditing,Private,AmbitionBox
Power Mech Projects,Engineering & Construction,Public,AmbitionBox
Parle Products,Food Processing,Private,AmbitionBox
AXA Business Services,Insurance,Private,AmbitionBox
Syngene International,Pharma,Public,AmbitionBox
Tata Capital Financial Services,Financial Services,Public,AmbitionBox
BA Continuum,IT Services & Consulting,Private,AmbitionBox
Sigma Electric Manufacturing Corporation,Industrial Machinery,Private,AmbitionBox
ValueLabs,IT Services & Consulting,Private,AmbitionBox
RMSI,IT Services & Consulting,Private,AmbitionBox
Yamaha Motor,Automobile,Private,AmbitionBox
Adani Wilmar,FMCG,Public,AmbitionBox
Hindustan Aeronautics,Defence & Aerospace,Private,AmbitionBox
Renault Nissan Technology & Business Centre India,Automobile,,AmbitionBox
IDBI Bank,Banking,Public,AmbitionBox
Karvy Data Management Services,Analytics & KPO,Private,AmbitionBox
Aavas Financiers,Financial Services,Public,AmbitionBox
Oberoi Group of Hotels,Hospitality,Private,AmbitionBox
MSN Laboratories,Pharma,Private,AmbitionBox
MetLife,IT Services & Consulting,Private,AmbitionBox
Hyatt Regency,Hospitality,Private,AmbitionBox
Ninjacart,Logistics,Private,AmbitionBox
Dr Lal PathLabs,Healthcare,Public,AmbitionBox
Jet Airways,Aviation,Public,AmbitionBox
Piramal Group,Financial Services,Private,AmbitionBox
Cisco,Hardware & Networking,Public,AmbitionBox
S&P Global,IT Services & Consulting,Public,AmbitionBox
Narayana Health,Healthcare,,AmbitionBox
Fujitsu,IT Services & Consulting,Private,AmbitionBox
SAP,IT Services & Consulting,Private,AmbitionBox
Tata Play,Media & Entertainment,Public,AmbitionBox
CMS Infosystems,IT Services & Consulting,Private,AmbitionBox
Canara HSBC Life Insurance,Insurance,Government,AmbitionBox
Metro,Retail,Private,AmbitionBox
Sify Technologies,Telecom,Private,AmbitionBox
Vardhman Fabrics,Fashion & Textile,,AmbitionBox
Taj Hotels Resorts and Palaces,Hospitality,,AmbitionBox
Akums Drugs & Pharmaceuticals,Pharma,Private,AmbitionBox
Aragen Life Sciences,Pharma,Private,AmbitionBox
HERE Technologies,IT Services & Consulting,Private,AmbitionBox
Foxconn,Electronics Manufacturing,Private,AmbitionBox
AECOM,Engineering & Construction,Private,AmbitionBox
Jubilant Foods Works,Retail,Public,AmbitionBox
Vedantu,EdTech,Private,AmbitionBox
Honeywell Automation,Consumer Electronics & Appliances,Public,AmbitionBox
suzuki motor gujarat,,,AmbitionBox
Care Health Insurance,Internet,Public,AmbitionBox
G R Infraprojects,Engineering & Construction,Public,AmbitionBox
SGS,Facility Management Services,Private,AmbitionBox
WABCO,Auto Components,Public,AmbitionBox
Star Health & Allied Insurance,Insurance,Private,AmbitionBox
XL Dynamics,Accounting & Auditing,Private,AmbitionBox
Laurus Labs,Pharma,Public,AmbitionBox
Citibank,Banking,Private,AmbitionBox
Jindal Stainless,Iron & Steel,Public,AmbitionBox
Reckitt Benckiser,FMCG,Private,AmbitionBox
DIVI'S Laboratories,Healthcare,Public,AmbitionBox
Tata Elxsi,IT Services & Consulting,Public,AmbitionBox
Aon,Financial Services,Private,AmbitionBox
Reliance General Insurance,Insurance,Private,AmbitionBox
Xoriant,IT Services & Consulting,Private,AmbitionBox
Procter & Gamble,FMCG,Public,AmbitionBox
Intellect Design Arena,FinTech,Public,AmbitionBox
Allsec Technologies,Recruitment,Public,AmbitionBox
Microland,IT Services & Consulting,Public,AmbitionBox
Uflex,Packaging,Public,AmbitionBox
Cavinkare,FMCG,Private,AmbitionBox
Kotak Securities,Financial Services,Private,AmbitionBox
Amazon Transportation Services,Logistics,Private,AmbitionBox
Harman Connected Services,IT Services & Consulting,Private,AmbitionBox
FedEx Express,Logistics,Private,AmbitionBox
Dell EMC,IT Services & Consulting,Private,AmbitionBox
Adecco Group,Recruitment,Private,AmbitionBox
KONE,Engineering & Construction,Private,AmbitionBox
Mother Dairy Fruit & Vegetable,Food Processing,Private,AmbitionBox
Philips,Healthcare,Private,AmbitionBox
Max Fashion,Healthcare,Private,AmbitionBox
Bank of Baroda,Banking,Private,AmbitionBox
Citicorp,Financial Services,Private,AmbitionBox
Quest Global,IT Services & Consulting,Private,AmbitionBox
Samsung India Electronics,Consumer Electronics & Appliances,,AmbitionBox
Motilal Oswal Financial Services,Financial Services,Public,AmbitionBox
ITC Hotels,Hospitality,Public,AmbitionBox
Fincare Small Finance Bank,NBFC,,AmbitionBox
Innovsource Services,Recruitment,Private,AmbitionBox
Aircel,Telecom,Private,AmbitionBox
Angel One,Financial Services,,AmbitionBox
Dainik Bhaskar Group Of Publication,Printing & Publishing,Public,AmbitionBox
CMA CGM,Other,Private,AmbitionBox
Verizon,Telecom,Private,AmbitionBox
Exl India,IT Services & Consulting,,AmbitionBox
V-Guard Industries,Electrical Equipment,Public,AmbitionBox
Safexpress,Logistics,Private,AmbitionBox
Barclays Shared Services,IT Services & Consulting,Private,AmbitionBox
NCR Corporation,Software Product,Private,AmbitionBox
YASH Technologies,IT Services & Consulting,Private,AmbitionBox
Crisil,Analytics & KPO,Public,AmbitionBox
Aforeserve,IT Services & Consulting,Private,AmbitionBox
Johnson & Johnson,Pharma,Private,AmbitionBox
DBS Bank,Banking,Private,AmbitionBox
Hindustan Construction Company,Engineering & Construction,Public,AmbitionBox
DHL Express,Logistics,Private,AmbitionBox
Novartis,Pharma,,AmbitionBox
Honeywell Technology Solutions,Defence & Aerospace,Private,AmbitionBox
USHA International,Consumer Electronics & Appliances,Public,AmbitionBox
USV,Pharma,Private,AmbitionBox
Biological E,Pharma,Private,AmbitionBox
Aditya Birla Capital,Financial Services,Public,AmbitionBox
BT Global Services,IT Services & Consulting,Private,AmbitionBox
SRL Diagnostics,Healthcare,Private,AmbitionBox
Inox Leisure,Media & Entertainment,Public,AmbitionBox
Sony,Consumer Electronics & Appliances,Public,AmbitionBox
Hero FinCorp,NBFC,Private,AmbitionBox
Medanta the Medicity,Healthcare,Private,AmbitionBox
Kent RO Systems,Consumer Electronics & Appliances,Private,AmbitionBox
PhonePe,IT Services & Consulting,Private,AmbitionBox
