company_name,company_industry,company_legal_form,file_name
Frigorifico Allana,Food Processing,Private,AmbitionBox
IVTL Infoview Technologies,IT Services & Consulting,Private,AmbitionBox
Silver Touch Technologies,IT Services & Consulting,Public,AmbitionBox
Indorama,Fashion & Textile,Private,AmbitionBox
Gyan Dairy,Food Processing,Private,AmbitionBox
Lambda Therapeutic Research,Clinical Research,Private,AmbitionBox
Raptakos Brett and Company,Pharma,Public,AmbitionBox
Sata Vikas India,Auto Components,JV,AmbitionBox
Jay Chemical Industries,Chemicals,Private,AmbitionBox
Meghmani Organics,Chemicals,Public,AmbitionBox
EC-Council,Education & Training,Private,AmbitionBox
Seven Hills Hospital,Healthcare,Private,AmbitionBox
NetApp,IT Services & Consulting,Private,AmbitionBox
NTT-Netmagic,IT Services & Consulting,Private,AmbitionBox
Vayam Info Solutions,Recruitment,,AmbitionBox
Moody's Analytics,Analytics & KPO,Private,AmbitionBox
Tommy Hilfiger,Fashion & Textile,Private,AmbitionBox
Mann And Hummel Filter,Industrial Machinery,Private,AmbitionBox
63 Moons Technologies,Software Product,Public,AmbitionBox
Jsw Energy,Power,Public,AmbitionBox
Vedanta Limited,Metals & Mining,,AmbitionBox
Pfizer Products India,Pharma,,AmbitionBox
Bses Yamuna Power,Power,,AmbitionBox
Electronica Finance,NBFC,Public,AmbitionBox
Mahagun India,Real Estate,Private,AmbitionBox
Juniper Networks,Hardware & Networking,Private,AmbitionBox
Healthians,Healthcare,Private,AmbitionBox
Smaaash Entertainment,Sports & Recreation,Private,AmbitionBox
Ruby Hall Clinic,Healthcare,NGO/NPO,AmbitionBox
B2x Service Solutions,BPO,Private,AmbitionBox
5paisa Capital,Financial Services,Public,AmbitionBox
Amoli Organics,Pharma,,AmbitionBox
Healthians,Healthcare,Private,AmbitionBox
Ruby Hall Clinic,Healthcare,NGO/NPO,AmbitionBox
Jockey,Fashion & Textile,Private,AmbitionBox
Freshworks,Software Product,Public,AmbitionBox
Tata Power Solar,Power,Public,AmbitionBox
Basicfirst Learning,EdTech,Private,AmbitionBox
CK Birla Group,Building Material,Private,AmbitionBox
Etisalat,Telecom,Public,AmbitionBox
Delhi Metro Rail Corporation,Logistics,Public,AmbitionBox
Ather Energy,Automobile,Private,AmbitionBox
Hitachi Consulting,IT Services & Consulting,Private,AmbitionBox
Corona Remedies,Healthcare,Private,AmbitionBox
Aparna Enterprises,Building Material,Private,AmbitionBox
Azmeel Contracting,Engineering & Construction,Private,AmbitionBox
Roki Minda Co,Auto Components,Private,AmbitionBox
CPM India Sales & Marketing,Marketing & Advertising,Private,AmbitionBox
TELUS International Philippines,IT Services & Consulting,,AmbitionBox
K L University,Education & Training,Private,AmbitionBox
Shangri-la Hotels & Resorts,Hospitality,Public,AmbitionBox
National Payments Corporation of India,FinTech,Private,AmbitionBox
NortonLifeLock's,IT Services & Consulting,Private,AmbitionBox
Subway,Hospitality,Private,AmbitionBox
Bhilai Engineering Corporation,Industrial Machinery,Public,AmbitionBox
GKC Projects,Engineering & Construction,Private,AmbitionBox
Kiswok Industries,Auto Components,Private,AmbitionBox
Rashmi Group,Metals & Mining,Private,AmbitionBox
Wildcraft,Fashion & Textile,Private,AmbitionBox
Metro Hospital & Heart Institute,Healthcare,,AmbitionBox
Akamai Technologies,IT Services & Consulting,Private,AmbitionBox
ZF India Technology Center,Auto Components,Private,AmbitionBox
Titan Engineering & Automation,Industrial Automation,Private,AmbitionBox
Religare Finvest,Financial Services,Public,AmbitionBox
Sureti Insurance Marketing,,,AmbitionBox
Aptiv,Auto Components,Private,AmbitionBox
Roche Diagnostics,Pharma,Private,AmbitionBox
Mahendra NextWealth,IT Services & Consulting,,AmbitionBox
Bahwan CyberTek,IT Services & Consulting,Private,AmbitionBox
Aliens Group,Real Estate,Private,AmbitionBox
NVH India Auto Parts,Auto Components,Private,AmbitionBox
Kirloskar Electric Company,Electrical Equipment,Public,AmbitionBox
Powerica,Industrial Machinery,Private,AmbitionBox
Rheinmetall Automotive,Auto Components,Private,AmbitionBox
Mobileum,Software Product,Private,AmbitionBox
Mettler-Toledo,Electronics Manufacturing,Private,AmbitionBox
Patil Group,Engineering & Construction,,AmbitionBox
Metric Stream Infotech,Internet,Private,AmbitionBox
RCL-PRIYA CEMENT,Building Material,,AmbitionBox
Tata ClassEdge,EdTech,Public,AmbitionBox
Vistara,Aviation,Private,AmbitionBox
RDC Concrete (India),Real Estate,Private,AmbitionBox
L&T Water & Effluent Treatment,Engineering & Construction,,AmbitionBox
Marpu Foundation,Non-Profit,,AmbitionBox
Sharda University,Education & Training,Private,AmbitionBox
Allanasons,Food Processing,Private,AmbitionBox
Banco Products,Auto Components,Public,AmbitionBox
Bharat Dynamics,Industrial Machinery,Private,AmbitionBox
Ascent Business Solutions,IT Services & Consulting,Private,AmbitionBox
DataMetica,IT Services & Consulting,Private,AmbitionBox
Nuance Transcription Services,IT Services & Consulting,Private,AmbitionBox
Munjal Auto Industries,Auto Components,Public,AmbitionBox
Shivam Infocom,Telecom,Private,AmbitionBox
Aegon Life Insurance,Insurance,Private,AmbitionBox
Secure Value,IT Services & Consulting,Private,AmbitionBox
LendingKart,FinTech,Public,AmbitionBox
Ascent Business Solutions,IT Services & Consulting,Private,AmbitionBox
Somic ZF Components,Auto Components,Private,AmbitionBox
Banco Products,Auto Components,Public,AmbitionBox
Rama Medical College Hospital & Research Centre,Healthcare,,AmbitionBox
Elentec India,IT Services & Consulting,Private,AmbitionBox
Zovian Technologies,IT Services & Consulting,Private,AmbitionBox
IOCL Refinery,Oil & Gas,Public,AmbitionBox
Mahindra Susten,Engineering & Construction,Private,AmbitionBox
Innominds Software,IT Services & Consulting,Private,AmbitionBox
All India Institute of Medical Sciences,Healthcare,Private,AmbitionBox
GE Aviation,Aviation,Private,AmbitionBox
Iol Chemicals & Pharmaceuticals,Pharma,Private,AmbitionBox
Zydex Industries,Chemicals,Private,AmbitionBox
Rail Vikas Nigam,FMCG,Private,AmbitionBox
IDS Infotech,IT Services & Consulting,Public,AmbitionBox
EMCO,Power,Public,AmbitionBox
Hyundai Heavy Industries,Urban Transport,Public,AmbitionBox
Indiabulls Real Estate,Real Estate,Public,AmbitionBox
HUDL,Software Product,Private,AmbitionBox
Cheil India,Marketing & Advertising,Private,AmbitionBox
Gallagher Service Center,BPO,,AmbitionBox
Arvind Fashions,Fashion & Textile,Public,AmbitionBox
L&TMHI Power Boilers,Industrial Machinery,Private,AmbitionBox
E2OPEN,IT Services & Consulting,Private,AmbitionBox
AYN InfoTech,IT Services & Consulting,Public,AmbitionBox
Sub-K IMPACT Solutions,Financial Services,Private,AmbitionBox
Health Care Global Enterprises,Healthcare,Public,AmbitionBox
Orchid Chemicals & Pharmaceuticals,Pharma,Private,AmbitionBox
Arena Animation,Education & Training,Private,AmbitionBox
ISS SDB Security Services,Facility Management Services,Private,AmbitionBox
Bhandari Automobiles,Automobile,Private,AmbitionBox
Sistema Shyam Teleservices,Telecom,Private,AmbitionBox
ESAB,Industrial Machinery,Public,AmbitionBox
Gold Plus Glass,Building Material,Private,AmbitionBox
My Home Constructions,Real Estate,Private,AmbitionBox
Synergy Property Development Services,Real Estate,Private,AmbitionBox
T&M Services consulting,Recruitment,Private,AmbitionBox
ScoreMe Solutions,FinTech,,AmbitionBox
koda Auto Volkswagen,Automobile,,AmbitionBox
Expleo Solutions,IT Services & Consulting,,AmbitionBox
Technip Energies,Engineering & Construction,,AmbitionBox
Spectrum Talent Management,Recruitment,Private,AmbitionBox
Suburban Diagnostics,Healthcare,Private,AmbitionBox
CommScope,Telecom,Private,AmbitionBox
Can-Pack,Packaging,Private,AmbitionBox
Aptus Value Housing Finance India,NBFC,Private,AmbitionBox
LiquidHub,IT Services & Consulting,Private,AmbitionBox
Personiv,BPO,Private,AmbitionBox
Offshoot Agency,IT Services & Consulting,Private,AmbitionBox
Apollo Clinic,Healthcare,Public,AmbitionBox
Country Club India,Hospitality,Private,AmbitionBox
Indian Institute of Technology Gandhinagar,Education & Training,Private,AmbitionBox
Tradebulls,Financial Services,Private,AmbitionBox
Tradebulls,Financial Services,Private,AmbitionBox
Treebo Hotels,Internet,Private,AmbitionBox
Uae Exchange & Financial Services,FinTech,Private,AmbitionBox
Pegasystems,Software Product,Private,AmbitionBox
AirAsia,Logistics,Public,AmbitionBox
Arabian Construction Company,Engineering & Construction,Private,AmbitionBox
Gopaljee Dairy Foods,Food Processing,Private,AmbitionBox
Godrej Interio,Furniture & Furnishing,Private,AmbitionBox
Talwalkars Better value Fitness,Fitness & Wellness,Public,AmbitionBox
Petrofac Engineering India,Petrochemicals,Private,AmbitionBox
Focus Energy,Oil & Gas,Private,AmbitionBox
Mitsui O.S.K. Lines,Ports & Shipping,Private,AmbitionBox
Mukand,Iron & Steel,Public,AmbitionBox
Global Edge Software,IT Services & Consulting,Private,AmbitionBox
Military Engineer Services,Engineering & Construction,Public,AmbitionBox
Encora,IT Services & Consulting,Private,AmbitionBox
TNT Express,Logistics,Private,AmbitionBox
Arabian Industries,Oil & Gas,Private,AmbitionBox
Inspira Enterprise India,IT Services & Consulting,Private,AmbitionBox
McNROE,FMCG,Private,AmbitionBox
Huntsman International,Chemicals,Private,AmbitionBox
Su-Kam Power Systems,Power,Private,AmbitionBox
TRL Krosaki Refractories,Metals & Mining,Public,AmbitionBox
Groupm Media,Marketing & Advertising,Public,AmbitionBox
Hummingwave Technologies,IT Services & Consulting,Private,AmbitionBox
Refinitiv,Financial Services,Private,AmbitionBox
Halliburton,Power,Private,AmbitionBox
Ample Technologies,IT Services & Consulting,Private,AmbitionBox
Paragon Digital Services,Marketing & Advertising,Private,AmbitionBox
Hinduja Tech,,,AmbitionBox
Ample Technologies,IT Services & Consulting,Private,AmbitionBox
Paragon Digital Services,Marketing & Advertising,Private,AmbitionBox
Hyundai Glovis,Logistics,Public,AmbitionBox
Paper boat,Beverage,,AmbitionBox
Highway Industries,Engineering & Construction,Private,AmbitionBox
Shyam Sel & Power,Industrial Machinery,Public,AmbitionBox
Bharat Institutions,Education & Training,Private,AmbitionBox
Kellton Tech Solutions,IT Services & Consulting,Public,AmbitionBox
Kia,Automobile,,AmbitionBox
Alembic,Pharma,,AmbitionBox
TATA Advanced Materials,Defence & Aerospace,Public,AmbitionBox
Servion Global Solutions,IT Services & Consulting,Private,AmbitionBox
Onkar Infotech,BPO,Private,AmbitionBox
Magic Software,IT Services & Consulting,Private,AmbitionBox
Shakti Pumps,Industrial Machinery,Public,AmbitionBox
JoulestoWatts Business Solutions,IT Services & Consulting,Private,AmbitionBox
Khimji Ramdas,Other,Private,AmbitionBox
NAFFCO,Other,Private,AmbitionBox
Shah Technical Consultants,Telecom,Private,AmbitionBox
Efftronics Systems,Electronics Manufacturing,Private,AmbitionBox
Rosenberger Electronic,Electronics Manufacturing,Private,AmbitionBox
APL Apollo Tubes,Building Material,Public,AmbitionBox
Bengal Beverages,Beverage,Private,AmbitionBox
Net Solutions,IT Services & Consulting,Private,AmbitionBox
Aster Dm Healthcare,Healthcare,Public,AmbitionBox
Sri Sri Tattva,FMCG,Private,AmbitionBox
Allianz,Insurance,Private,AmbitionBox
Nous Infosystems,IT Services & Consulting,Private,AmbitionBox
Bombay Rayon Fashions,Fashion & Textile,Public,AmbitionBox
Stovekraft,Consumer Electronics & Appliances,Private,AmbitionBox
Mediterranean Shipping Company,IT Services & Consulting,Private,AmbitionBox
Danone Nutricia,Food Processing,Private,AmbitionBox
Richa Global Export,Fashion & Textile,Private,AmbitionBox
Nava Bharat Ventures,Metals & Mining,Public,AmbitionBox
Titan Laboratories,Pharma,Private,AmbitionBox
InfoStretch,IT Services & Consulting,Private,AmbitionBox
Dnata,Aviation,Private,AmbitionBox
Responsive Industries,Building Material,Public,AmbitionBox
Bharat Rasayan,Agro Chemicals,Public,AmbitionBox
New Opportunity Consultancy,Financial Services,Private,AmbitionBox
EVRY India,IT Services & Consulting,Private,AmbitionBox
Netmeds.com,Internet,Private,AmbitionBox
Writer Information Management Services,Facility Management Services,Private,AmbitionBox
Amara Raja Power Systems,Auto Components,,AmbitionBox
OptimHire,IT Services & Consulting,,AmbitionBox
Techwave Consulting,IT Services & Consulting,Private,AmbitionBox
Rainbow Childrens Hospital,Healthcare,Private,AmbitionBox
Globus Stores,Retail,Private,AmbitionBox
MagicPin,Internet,Private,AmbitionBox
Equiniti,Financial Services,Public,AmbitionBox
Pearl Global Industries,Fashion & Textile,Public,AmbitionBox
ABI SHOWA TECH,Auto Components,Private,AmbitionBox
ANZ Operations & Technology,Financial Services,,AmbitionBox
Columbia Petro Chem,Oil & Gas,Private,AmbitionBox
Honour Lab,Pharma,Private,AmbitionBox
Vem Technologies,Defence & Aerospace,Private,AmbitionBox
Infinx Healthcare,IT Services & Consulting,,AmbitionBox
Examity,EdTech,,AmbitionBox
Birla Cement,Chemicals,,AmbitionBox
Aptiv Components India Private,Auto Components,,AmbitionBox
Eurofins It Solutions,IT Services & Consulting,Private,AmbitionBox
MIOT INTERNATIONAL,Healthcare,,AmbitionBox
BP,Oil & Gas,Private,AmbitionBox
Thales,IT Services & Consulting,Private,AmbitionBox
Watertec India,Building Material,Private,AmbitionBox
Apparel Group,Retail,Private,AmbitionBox
Manhattan Associates,IT Services & Consulting,Private,AmbitionBox
CESC,Power,Public,AmbitionBox
Solartis Technology Services,IT Services & Consulting,LLC,AmbitionBox
MobileComm Technologies India,Telecom,Private,AmbitionBox
Central Institute of Plastics Engineering & Technology,Education & Training,Public,AmbitionBox
Wow Momo Foods,FMCG,Private,AmbitionBox
Checkmate Services,Facility Management Services,Private,AmbitionBox
Azure Power,Power,Private,AmbitionBox
Anand Rathi Global Finance,NBFC,Private,AmbitionBox
Tube Products of India,Industrial Machinery,Private,AmbitionBox
ShopKirana,Software Product,Private,AmbitionBox
L&T Defence,Defence & Aerospace,,AmbitionBox
Radiant Cash Management Services,Financial Services,Private,AmbitionBox
Weblink In,IT Services & Consulting,Private,AmbitionBox
VVF,FMCG,Public,AmbitionBox
Sgs Tekniks Manufacturing,Electronics Manufacturing,Private,AmbitionBox
Theme Engineering Services,Engineering & Construction,Private,AmbitionBox
Sarvodaya Hospital,Healthcare,Private,AmbitionBox
Sundaram Auto Components,Auto Components,Public,AmbitionBox
Arabtec Construction,Engineering & Construction,Private,AmbitionBox
CBSL,Other,Private,AmbitionBox
Global Aluminium,Metals & Mining,Private,AmbitionBox
NOON.COM,Internet,LLC,AmbitionBox
RSM India,Accounting & Auditing,Private,AmbitionBox
KRBL,FMCG,Public,AmbitionBox
koda Auto India,Automobile,Private,AmbitionBox
Pfizer Healthcare india pvt lit,Pharma,,AmbitionBox
Dalmia-OCL,Building Material,,AmbitionBox
Amentum,Defence & Aerospace,,AmbitionBox
The Indian Hotels Company,Hospitality,Private,AmbitionBox
London Stock Exchange Group,Healthcare / Pharma,Private,AmbitionBox
Air Liquide,Chemicals,Public,AmbitionBox
Delhi Duty Free Services,Retail,Partnership,AmbitionBox
Tejas Networks,Hardware & Networking,Public,AmbitionBox
VIT University,Education & Training,Private,AmbitionBox
Indo German Tool Room,Government,Private,AmbitionBox
Hindustan Syringes & Medical Devices,Medical Equipment,Private,AmbitionBox
Yashi Consulting Services,Engineering & Construction,Private,AmbitionBox
Case New-Holland Construction Equipment India,Industrial Machinery,Private,AmbitionBox
Deluxe Entertainment,Media & Entertainment,Private,AmbitionBox
ArcGate,BPO,Private,AmbitionBox
VST Industries,FMCG,Public,AmbitionBox
eNoah iSolution,BPO,Private,AmbitionBox
Casagrand,Real Estate,Private,AmbitionBox
SKH Y-TEC,Auto Components,Private,AmbitionBox
GMR Energy,Power,Public,AmbitionBox
BridgeLabz Solutions,EdTech,,AmbitionBox
Wallace Pharmaceuticals,Pharma,Private,AmbitionBox
PhyCARE Solutions,Healthcare,Private,AmbitionBox
INDIAN PUBLIC SCHOOL,Education & Training,Private,AmbitionBox
eBIZ.com,EdTech,Private,AmbitionBox
Hashedin By Deloitte,IT Services & Consulting,Private,AmbitionBox
Oriflame,Beauty & Personal Care,Private,AmbitionBox
MBD GROUP,Printing & Publishing,Private,AmbitionBox
Cochin Shipyard,Ports & Shipping,Private,AmbitionBox
CTDI,Telecom,Private,AmbitionBox
Oriflame,Beauty & Personal Care,Private,AmbitionBox
Hashedin By Deloitte,IT Services & Consulting,Private,AmbitionBox
eBIZ.com,EdTech,Private,AmbitionBox
Par Formulations,Healthcare,Private,AmbitionBox
Berkadia,Financial Services,Private,AmbitionBox
Flipkart Health+,Internet,Private,AmbitionBox
ThoughtWorks,IT Services & Consulting,Private,AmbitionBox
Gujarat Gas,Oil & Gas,Public,AmbitionBox
Inventia Healthcare,Pharma,Private,AmbitionBox
Centre For Sight,Healthcare,Private,AmbitionBox
Gartner India Research and Advisory Services,Analytics & KPO,Private,AmbitionBox
Valvoline Cummins,Auto Components,Private,AmbitionBox
Imarque Solutions,IT Services & Consulting,Private,AmbitionBox
Sequential Technology International,BPO,Private,AmbitionBox
Taraashna Financial Services,Financial Services,Private,AmbitionBox
S Chand Group,Education & Training,Public,AmbitionBox
S.c Johnson Products,Beauty & Personal Care,Private,AmbitionBox
Tuaman Engineering,Engineering & Construction,Private,AmbitionBox
Publicis,Marketing & Advertising,Private,AmbitionBox
A2Z Group,Engineering & Construction,Private,AmbitionBox
Rajasthan Patrika,Broadcasting,Private,AmbitionBox
Trivium Education Services,Management Consulting,Private,AmbitionBox
NGA HR,BPO,Private,AmbitionBox
HealthKart,Internet,Private,AmbitionBox
Manipal Technologies,Printing & Publishing,Private,AmbitionBox
Tata Metaliks,Iron & Steel,Public,AmbitionBox
Ozone Overseas,Architecture & Interior Design,Private,AmbitionBox
Adama,Agro Chemicals,Private,AmbitionBox
Tata Metaliks,Iron & Steel,Public,AmbitionBox
Rajasthan Patrika,Broadcasting,Private,AmbitionBox
RA Chem Pharma,Pharma,Private,AmbitionBox
Ozone Overseas,Architecture & Interior Design,Private,AmbitionBox
Trivium Education Services,Management Consulting,Private,AmbitionBox
Zebronics,Consumer Electronics & Appliances,Private,AmbitionBox
WayCool Foods and Products,FMCG,Private,AmbitionBox
Bajaj Consumer Care,FMCG,Public,AmbitionBox
Infodrive,Other,Private,AmbitionBox
Omega Healthcare Solutions,IT Services & Consulting,,AmbitionBox
Nippon India Mutual Fund,Financial Services,JV,AmbitionBox
Bada Business,Internet,,AmbitionBox
Neilsoft,Engineering & Construction,Private,AmbitionBox
Siemens Healthineers,Healthcare,,AmbitionBox
Rakuten,IT Services & Consulting,Private,AmbitionBox
Polestar Solutions & Services India,IT Services & Consulting,Private,AmbitionBox
Sundaram Business Services,BPO,Private,AmbitionBox
Oberoi Realty,Real Estate,Public,AmbitionBox
Calsoft,IT Services & Consulting,Private,AmbitionBox
Shyam Indus Power Solutions,Power,Private,AmbitionBox
CARE Ratings,Financial Services,Public,AmbitionBox
Signode,Consumer goods,Private,AmbitionBox
Schneider Electric Infrastructure,Electrical Equipment,Public,AmbitionBox
Vedant Fashions,Fashion & Textile,Private,AmbitionBox
Asti Electronics India,Auto Components,Private,AmbitionBox
Andromeda Sales And Distribution,Financial Services,Private,AmbitionBox
AXIS MY INDIA,Analytics & KPO,Private,AmbitionBox
Creative Synergies Group,IT Services & Consulting,Private,AmbitionBox
Hygienic Research Institute,Beauty & Personal Care,Private,AmbitionBox
Sedemac Mechatronics,Consumer Electronics & Appliances,Private,AmbitionBox
Andromeda Sales And Distribution,Financial Services,Private,AmbitionBox
Delphi Automotive Systems,Auto Components,Public,AmbitionBox
Hygienic Research Institute,Beauty & Personal Care,Private,AmbitionBox
Polestar Solutions & Services India,IT Services & Consulting,Private,AmbitionBox
Sedemac Mechatronics,Consumer Electronics & Appliances,Private,AmbitionBox
Calsoft,IT Services & Consulting,Private,AmbitionBox
Vedant Fashions,Fashion & Textile,Private,AmbitionBox
Schneider Electric Infrastructure,Electrical Equipment,Public,AmbitionBox
Asti Electronics India,Auto Components,Private,AmbitionBox
Rochem Separation Systems,Industrial Machinery,,AmbitionBox
B.L Agro Oils,Food Processing,,AmbitionBox
FIGMD,IT Services & Consulting,Private,AmbitionBox
Sterling Hospitals,Healthcare,Public,AmbitionBox
Loadshare Networks,Logistics,Private,AmbitionBox
Celebi Delhi Cargo Terminal Management,Aviation,,AmbitionBox
Total,Oil & Gas,Private,AmbitionBox
Allahabad Bank,Banking,Private,AmbitionBox
Bajaj Hindusthan,Food Processing,Public,AmbitionBox
Technico Industries,Auto Components,Private,AmbitionBox
Wood Group,Oil & Gas,Private,AmbitionBox
Costa Cruise Lines,Travel & Tourism,Private,AmbitionBox
TCI Supply Chain Solutions,Logistics,Private,AmbitionBox
POSCO MAHARASHTRA STEEL,Iron & Steel,Private,AmbitionBox
Emirates Airlines,Aviation,Private,AmbitionBox
Cotmac Electronics,Industrial Automation,Private,AmbitionBox
Koyo Bearings India,Auto Components,Private,AmbitionBox
Cargo Motors,Automobile,Private,AmbitionBox
VGN Projects Estates,Real Estate,Private,AmbitionBox
NetAmbit Infosource & e-Services,FinTech,Private,AmbitionBox
SVC Co-Operative Bank,Banking,Private,AmbitionBox
Self Practice,Analytics & KPO,,AmbitionBox
Tata Electronics,Semiconductors,,AmbitionBox
Lincoln Pharmaceuticals,Pharma,Public,AmbitionBox
World Vision,Non-Profit,Private,AmbitionBox
Tega Industries,Industrial Machinery,Public,AmbitionBox
Shalimar Paints,Chemicals,Public,AmbitionBox
ProConnect Integrated Logistics,Logistics,Private,AmbitionBox
HDFC Mutual Fund,Financial Services,,AmbitionBox
Nimbus Harbor Facilities Management,Facility Management Services,Private,AmbitionBox
Halonix Technologies,Electronics Manufacturing,Private,AmbitionBox
Yara Fertilisers,Agro Chemicals,,AmbitionBox
Laser Power & Infra,Electrical Equipment,Private,AmbitionBox
Prione Business Services,Retail,Private,AmbitionBox
Smollan Group,BPO,Private,AmbitionBox
Associated Road Carriers,Urban Transport,Private,AmbitionBox
CallHealth,Healthcare,Private,AmbitionBox
Dorf Ketal Chemicals,Oil & Gas,LLC,AmbitionBox
KOREA PLANT SERVICE AND ENGINEERING,Power,Private,AmbitionBox
Welspun Flooring,Building Material,Public,AmbitionBox
BRLPS,Non-Profit,,AmbitionBox
Weddingz.in,Internet,Private,AmbitionBox
Hamleys,Retail,Private,AmbitionBox
RV Solutions,IT Services & Consulting,Private,AmbitionBox
DSV - Global Transport and Logistics,Logistics,,AmbitionBox
JSW Paints,Chemicals,,AmbitionBox
Torrent Gas,Oil & Gas,Private,AmbitionBox
Parul University,Education & Training,Private,AmbitionBox
The Saraswat Co-operative Bank,Banking,Public,AmbitionBox
Sears Holdings,Retail,Private,AmbitionBox
Technicolor,Animation & VFX,Private,AmbitionBox
Pole To Win,Gaming,Private,AmbitionBox
Navata Road Transport,Logistics,Partnership,AmbitionBox
VSoft Technologies,IT Services & Consulting,Private,AmbitionBox
Caresoft Global,IT Services & Consulting,Private,AmbitionBox
Flyjac Logistics,Logistics,Private,AmbitionBox
V-bazaar Retail,Retail,,AmbitionBox
ESIC HOSPITAL,Healthcare,Private,AmbitionBox
Spm Autocomp,Auto Components,Private,AmbitionBox
Sekisui Dljm Molding,Auto Components,JV,AmbitionBox
Padget Electronics,Industrial Machinery,,AmbitionBox
Bal Pharma,Pharma,Public,AmbitionBox
MMC Infotech Services,IT Services & Consulting,Private,AmbitionBox
Saama Technologies,IT Services & Consulting,Private,AmbitionBox
Harsha Engineers,Industrial Machinery,Private,AmbitionBox
Belstar Investment and Finance,Investment Banking / Venture Capital / Private Equity,Private,AmbitionBox
Keihin India Manufacturing,Auto Components,,AmbitionBox
Popular Vehicles and Services,Automobile,Private,AmbitionBox
Infra.Market,Building Material,Private,AmbitionBox
Madhucon Projects,Engineering & Construction,Public,AmbitionBox
Ubisoft Entertainment,Gaming,Private,AmbitionBox
Lipi Data Systems,Printing & Publishing,Private,AmbitionBox
Lanxess,Chemicals,Private,AmbitionBox
Bombay Intelligence Security,Law Enforcement & Security,Private,AmbitionBox
Amrita Institute of Medical Sciences and Research,Healthcare,Private,AmbitionBox
Studds Accessories,Auto Components,Private,AmbitionBox
Munjal Kiriu Industries,Auto Components,Private,AmbitionBox
Zydus Hospital,Healthcare,Public,AmbitionBox
Fosroc Chemicals India,Chemicals,Private,AmbitionBox
THE KCP,Building Material,Public,AmbitionBox
Ang India,Consumer Electronics & Appliances,Public,AmbitionBox
Modi Mundi Pharma,Pharma,Private,AmbitionBox
Ang India,Consumer Electronics & Appliances,Public,AmbitionBox
Brg Iron And Steel Co.,Metals & Mining,Private,AmbitionBox
Hollister Medical,Medical Equipment,,AmbitionBox
THE KCP,Building Material,Public,AmbitionBox
Munjal Kiriu Industries,Auto Components,Private,AmbitionBox
The Institute Of Chartered Accountants,Education & Training,,AmbitionBox
Fosroc Chemicals India,Chemicals,Private,AmbitionBox
D.p. Jain & Co. Infrastructure Pvt .,Engineering & Construction,Private,AmbitionBox
Nalco water,Waste Management,Private,AmbitionBox
Biz 2 Credit Info Services,IT Services & Consulting,Private,AmbitionBox
LTIMindtree,IT Services & Consulting,,AmbitionBox
UBS Business Solutions,,,AmbitionBox
Concord Biotech,Pharma,Public,AmbitionBox
Mahindra Lifespace Developers,Real Estate,Public,AmbitionBox
Puranik Builders,Real Estate,Public,AmbitionBox
Autometers Alliance,Semiconductors,Private,AmbitionBox
Agarwal Packers & Movers,Logistics,Public,AmbitionBox
Box8,Internet,Private,AmbitionBox
The Indian Hume Pipe Co.,Building Material,Public,AmbitionBox
Drydocks World Dubai,Ports & Shipping,LLC,AmbitionBox
Accord Synergy,Hardware & Networking,Public,AmbitionBox
Barista Coffee Company,Beverage,Private,AmbitionBox
DBOI Global Services,Investment Banking / Venture Capital / Private Equity,Private,AmbitionBox
Al Ahleia Switchgear,Industrial Machinery,Private,AmbitionBox
Recipharm Pharmaservices,Pharma,Private,AmbitionBox
Pepe Jeans,Fashion & Textile,Private,AmbitionBox
Monnet Group,Metals & Mining,Public,AmbitionBox
Thyssenkrupp Industrial Solutions,Industrial Machinery,,AmbitionBox
Vision Express,Retail,Private,AmbitionBox
SRMB SRIJAN,Building Material,,AmbitionBox
PULSUS HealthTech Group,Printing & Publishing,Public,AmbitionBox
Omninos Solutions,Software Product,,AmbitionBox
ClearTax,IT Services & Consulting,Private,AmbitionBox
STAR,Broadcasting,,AmbitionBox
ACG Worldwide,Pharma,Private,AmbitionBox
Premium Transmission,Industrial Machinery,Private,AmbitionBox
Luxor Writing Instruments,Other,Private,AmbitionBox
Walplast Products,Engineering & Construction,Private,AmbitionBox
CEC International,Engineering & Construction,Private,AmbitionBox
Rapido,Internet,Private,AmbitionBox
PCS Technology,IT Services & Consulting,Public,AmbitionBox
YKK,Fashion & Textile,Private,AmbitionBox
Meghalaya Cements,Building Material,Private,AmbitionBox
Core Integra Consulting Services,Recruitment,Private,AmbitionBox
TJSB Sahakari Bank,Banking,Private,AmbitionBox
NACL Industries,Agro Chemicals,Private,AmbitionBox
Aachi Foods,FMCG,Private,AmbitionBox
Cordlife Sciences India,Pharma,Private,AmbitionBox
Coolberg Beverages,Beverage,Private,AmbitionBox
Sagility,BPO,,AmbitionBox
Wsp Consultants India,Engineering & Construction,Private,AmbitionBox
Dixit Infotech Services,IT Services & Consulting,Private,AmbitionBox
Gaursons,Real Estate,Public,AmbitionBox
Qatar Petroleum,Oil & Gas,Other,AmbitionBox
Nidec Corporation,Industrial Machinery,Private,AmbitionBox
Piramal Glass,Packaging,Private,AmbitionBox
SiliconIndia,Printing & Publishing,Private,AmbitionBox
Bharat IT Services,IT Services & Consulting,Public,AmbitionBox
Sir Ganga Ram Hospital,Healthcare,Private,AmbitionBox
Praxair,Chemicals,Private,AmbitionBox
e-Centric Solutions,IT Services & Consulting,Private,AmbitionBox
