strategy_name,total_pairs,matches_strict,matches_moderate,matches_relaxed,avg_similarity_strict,avg_similarity_moderate,reduction_ratio,execution_time,sample_matches,category,threshold_level,score
Country-Name,2674631,102,109,920,0.9058823529411769,0.8990825688073399,0.7859867173434687,19.075420379638672,"[{'level_0': 770, 'level_1': 6034, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 1162, 'level_1': 2098, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 1866, 'level_1': 385, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 2211, 'level_1': 770, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 2211, 'level_1': 6034, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}]",multi_field,moderate,0.6481365722469683
Name-Website-Country,2675500,102,109,921,0.9058823529411769,0.8990825688073399,0.7859171834366874,16.7429039478302,"[{'level_0': 770, 'level_1': 6034, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 1162, 'level_1': 2098, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 1866, 'level_1': 385, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 2211, 'level_1': 770, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 2211, 'level_1': 6034, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}]",complex,moderate,0.6494253925646855
Name Block,4473,21,21,45,0.8999999999999998,0.8999999999999998,0.9996420884176835,0.03260993957519531,"[{'level_0': 35706, 'level_1': 34661, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 36521, 'level_1': 36184, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 33242, 'level_1': 32855, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40879, 'level_1': 38012, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40403, 'level_1': 37257, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,relaxed,0.861811897849561
Country Block,2560701,244,255,1732,0.902459016393443,0.8980392156862746,0.7951029405881176,15.46242094039917,"[{'level_0': 35706, 'level_1': 34661, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 34385, 'level_1': 34955, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40845, 'level_1': 40839, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 37645, 'level_1': 38008, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 39367, 'level_1': 41210, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,relaxed,0.7098954498775641
Industry Block,501691,232,232,746,0.9025862068965519,0.9025862068965519,0.9598566913382677,2.609999895095825,"[{'level_0': 35706, 'level_1': 34661, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40845, 'level_1': 40839, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 37645, 'level_1': 38008, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 36852, 'level_1': 38700, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 36852, 'level_1': 38694, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,relaxed,0.7953735459767604
City Block,10852698,233,243,1688,0.9025751072961377,0.8983539094650208,0.13161048209641923,80.96414732933044,"[{'level_0': 31356, 'level_1': 30081, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40403, 'level_1': 37257, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 33242, 'level_1': 32855, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 28073, 'level_1': 29835, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 30634, 'level_1': 28042, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,relaxed,0.49655891732770696
Website,19,16,17,18,0.9062499999999999,0.8999999999999999,0.9999984796959391,0.008644819259643555,"[{'level_0': 40879, 'level_1': 38012, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40403, 'level_1': 37257, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 9935, 'level_1': 6750, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 38404, 'level_1': 41280, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 37730, 'level_1': 40570, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,relaxed,0.8649520652004713
Company SNM-3,9574,45,46,248,0.9044444444444444,0.9021739130434782,0.999233926785357,0.07743406295776367,"[{'level_0': 31356, 'level_1': 30081, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 28073, 'level_1': 29835, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40845, 'level_1': 40839, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 9935, 'level_1': 4273, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 37862, 'level_1': 40714, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,relaxed,0.8643051674247941
Name-Employees,6131,22,22,46,0.8999999999999997,0.8999999999999997,0.9995094218843769,0.04390311241149902,"[{'level_0': 32693, 'level_1': 32805, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 33242, 'level_1': 32855, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 34040, 'level_1': 32032, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 34385, 'level_1': 34955, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 35168, 'level_1': 32086, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",multi_field,relaxed,0.8600689390048938
Name-Website,4478,23,24,49,0.9043478260869561,0.8999999999999999,0.9996416883376675,0.03143739700317383,"[{'level_0': 6890, 'level_1': 8543, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 1.0, 'weighted_score': 0.9999999999999999}, {'level_0': 7780, 'level_1': 9165, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 9935, 'level_1': 6750, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 32693, 'level_1': 32805, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 33242, 'level_1': 32855, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",multi_field,relaxed,0.8632084292114366
Country-Industry,2829113,244,255,1845,0.902459016393443,0.8980392156862746,0.7736256851370273,17.24185347557068,"[{'level_0': 49, 'level_1': 4729, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 770, 'level_1': 6034, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 1162, 'level_1': 2098, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 1414, 'level_1': 2360, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 1866, 'level_1': 385, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}]",multi_field,relaxed,0.7022671899991655
Country-Name,2674631,244,255,1808,0.902459016393443,0.8980392156862746,0.7859867173434687,16.742391347885132,"[{'level_0': 49, 'level_1': 4729, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 770, 'level_1': 6034, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 1162, 'level_1': 2098, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 1414, 'level_1': 2360, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 1866, 'level_1': 385, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}]",multi_field,relaxed,0.7062841391145345
Name-Website-Country,2675500,244,255,1809,0.902459016393443,0.8980392156862746,0.7859171834366874,19.1248836517334,"[{'level_0': 49, 'level_1': 4729, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 770, 'level_1': 6034, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 1162, 'level_1': 2098, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 1414, 'level_1': 2360, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 1866, 'level_1': 385, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}]",complex,relaxed,0.7049287869583235
